data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3285,3320,3352,3328,3329,3348,3328,3340,3367
3822,3821,3821,3821,3821,3824,3822,3824,3825
4090,4089,4090,4090,4090,4090,4090,4090,4090
4180,4179,4179,4180,4179,4179,4179,4179,4180
3941,3941,3942,3942,3943,3943,3942,3942,3941
3547,3537,3547,3542,3542,3540,3546,3548,3545
3160,3164,3181,3196,3190,3192,3195,3187,3129
3226,3271,3286,3291,3283,3286,3285,3274,3255
3259,3293,3287,3313,3293,3296,3307,3289,3258
3124,3149,3100,3161,3132,3143,3150,3121,3128
2880,2929,2857,2942,2900,2921,2929,2847,2834
2697,2728,2650,2797,2768,2650,2667,2562,2579
2670,2892,2813,2964,2980,2803,2672,2716,2710
2727,3049,2861,3023,3031,2870,2610,2874,2696
2852,3026,2968,2997,3018,2991,2848,2983,3013
3327,3353,3288,3283,3287,3250,3225,3258,3328
3353,3408,3215,3167,3267,3104,3082,3231,3326
3320,3440,3338,3290,3390,3366,2859,3358,3357
3263,3385,3403,3350,3391,3413,3092,3370,3355
3259,3337,3334,3333,3229,3358,3285,3192,3287
3174,3177,3139,3206,3128,3207,3230,3149,3166
3386,3446,3439,3419,3414,3419,3412,3407,3423
3551,3646,3640,3620,3613,3616,3622,3622,3628
3488,3594,3588,3585,3571,3571,3572,3582,3586
3326,3386,3374,3415,3403,3398,3389,3404,3401
3124,3173,3147,3211,3194,3195,3165,3189,3181
2970,3032,2972,3048,3040,3040,3037,3050,3038
2897,2864,2801,2877,2884,2903,2927,2951,2902
2850,2817,2796,2751,2782,2787,2754,2814,2770
3012,2983,2983,2942,2971,2907,2930,2945,2948
3017,2935,2975,2872,2937,2995,2913,2939,2929
2999,2960,2972,2923,2983,2969,2955,2939,2915
3058,3022,3030,3034,3049,3034,3076,3041,3037
3208,3158,3168,3101,3180,3175,3124,3190,3092
3104,3069,3071,3083,3104,3087,3050,3101,3057
2837,2813,2789,2865,2795,2795,2809,2791,2804
2873,2835,2850,2886,2878,2873,2894,2872,2926
2977,2965,2998,2976,2953,2994,3005,3009,2993
3057,3045,3058,3034,3034,3057,3046,3065,3054
3174,3154,3119,3104,3173,3153,3177,3171,3165
3166,3163,3142,3146,3168,3164,3183,3170,3162
3064,3071,3099,3121,3034,3089,3099,3082,3113
2990,3022,3027,2989,3015,3016,2997,2986,3071
3093,3104,3090,3118,3112,3076,3089,3100,3144
3078,3092,3106,3056,3094,3110,3084,3095,3135
3089,3052,3008,2946,3015,3020,3026,2998,3033
3338,3088,3068,3154,2804,3280,3232,2873,3443
3259,3309,3158,3129,2958,3209,3345,3175,3508
2822,3220,3055,2900,3231,2882,3191,3184,3222
2999,2946,2915,2932,3150,2971,2960,3038,2871
3113,3116,3141,3189,3219,3120,3170,3141,3082
2946,3201,3283,2888,3243,2898,2872,2881,2823
3409,3457,3581,3338,3230,3303,3182,3315,3062
3536,3382,3636,3556,3048,3361,3099,3386,3198
3395,3344,3444,3532,2756,3332,3333,3263,3114
3118,3270,3093,3428,3160,3360,3415,3277,2655
2816,2898,2899,3261,3080,3218,3246,3216,2894
2653,2913,3023,2785,2827,3152,3042,2914,2914
2700,3024,3221,2664,2817,3271,3144,2982,3181
2645,3149,3013,3134,2892,2949,3074,2908,2895
2859,3186,2939,3182,2882,2912,2769,2702,2645
2878,2817,2888,2890,2803,2744,2649,2562,2592
2733,2513,2616,2798,2604,2541,2548,2448,2525
2541,2582,2427,2417,2512,2505,2445,2513,2441
