data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3220,3233,3257,3239,3204,3239,3279,3225,3224
3799,3798,3799,3796,3801,3802,3802,3801,3799
4081,4081,4081,4081,4083,4083,4082,4083,4081
4172,4172,4172,4172,4173,4173,4173,4173,4172
3888,3890,3888,3887,3891,3887,3887,3885,3886
3529,3533,3539,3532,3529,3529,3533,3533,3532
3600,3602,3606,3601,3610,3609,3605,3604,3607
3815,3811,3568,3816,3859,3741,3541,3532,3728
4461,4574,4318,4514,4360,4422,4381,4296,4477
4676,4780,4693,4728,4580,4686,4670,4601,4715
4553,4612,4656,4586,4549,4596,4618,4561,4647
4115,4121,4185,4129,4313,4157,4307,4244,4308
3773,3872,3728,3744,3937,3664,3903,3818,3906
4100,4102,4017,4014,4014,3990,3944,4007,4062
4159,4100,4142,4082,4096,4112,4024,4188,4196
4121,4050,4120,4103,4088,4090,4080,4120,4061
3855,3844,3828,3844,3732,3840,3785,3813,3733
3622,3621,3628,3687,3748,3646,3607,3529,3622
3456,3469,3574,3550,3618,3440,3339,3394,3571
3316,3416,3411,3399,3343,3327,3412,3460,3471
3350,3365,3426,3440,3431,3482,3436,3438,3407
3472,3574,3549,3589,3573,3582,3595,3561,3552
3367,3483,3410,3478,3449,3467,3461,3489,3405
2986,3111,3023,3017,3067,3090,3017,3152,2968
2890,2966,3027,2806,3053,2884,2830,2740,3025
2957,2917,2987,2990,3010,2971,2898,2847,2956
3054,2965,2864,2861,2977,2994,2978,2930,2870
2981,2940,2955,2982,3087,2995,3013,3019,2945
3088,3088,3122,3181,3191,3176,3183,3169,3100
3239,3209,3285,3300,3321,3338,3333,3236,3292
3253,3258,3290,3307,3310,3314,3284,3275,3274
3143,3217,3218,3229,3202,3197,3148,3117,3163
3324,3421,3279,3456,3455,3407,3230,3404,3285
3323,3452,3229,3422,3525,3438,3187,3361,3320
3211,3257,3056,3209,3277,3199,2992,3066,3075
3058,3114,3076,3155,3002,3111,3056,3062,2973
3170,3127,3125,3193,3015,3061,3123,3156,3115
3121,3123,3131,3103,3113,3084,3122,3169,3078
3057,3055,3054,3012,3028,3009,3094,3030,3013
3400,3385,3404,3361,3377,3344,3394,3345,3365
3325,3366,3301,3302,3272,3282,3292,3295,3288
3564,3544,3518,3534,3557,3553,3553,3548,3546
3511,3476,3391,3436,3488,3525,3500,3456,3505
3180,3170,3411,3865,3299,3845,3755,3238,3424
3043,3267,3558,3926,3261,3935,3930,3269,3453
2859,3130,3373,3602,3135,3667,3711,3058,3291
2898,3036,3033,3058,3097,3107,3086,3124,3077
2969,2982,2962,2944,2942,3077,3075,3188,3222
2963,2986,3077,2886,2945,3143,3075,3109,3201
2906,2887,2920,2769,2712,2976,3040,2860,2944
2914,2865,2929,2917,2872,2980,2944,2864,2804
3045,3008,3064,3121,3031,3050,3061,3044,3035
2922,2930,2887,3005,2895,2947,3083,2879,2908
2547,2687,2686,2711,2729,2633,2856,2590,2642
2622,2837,2805,2825,2739,2834,2839,2760,2808
2747,2822,2839,2831,2702,2769,2821,2704,2827
2644,2605,2712,2634,2588,2593,2570,2598,2627
2593,2575,2616,2567,2622,2626,2633,2611,2596
2663,2668,2637,2577,2678,2645,2676,2601,2633
2503,2459,2601,2531,2540,2492,2481,2402,2552
2410,2355,2514,2485,2498,2417,2494,2461,2447
2449,2391,2352,2340,2335,2296,2387,2334,2216
2404,2464,2292,2277,2364,2334,2207,2354,2330
2439,2515,2266,2309,2384,2190,2385,2272,2326
