data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3252,3276,3225,3239,3275,3202,3166,3297,3208
3800,3799,3800,3797,3799,3798,3800,3801,3796
4080,4080,4080,4081,4080,4081,4080,4080,4080
4171,4171,4171,4170,4171,4171,4171,4170,4170
3885,3888,3886,3886,3885,3889,3886,3884,3886
3531,3532,3532,3529,3528,3529,3529,3528,3530
3604,3605,3606,3605,3605,3605,3605,3604,3604
3438,3436,3440,3437,3433,3439,3441,3434,3435
3120,3125,3131,3132,3119,3131,3135,3136,3120
2783,2789,2783,2750,2796,2804,2815,2819,2810
3006,3000,2993,3158,3020,3014,3016,3061,3064
3523,3514,3556,3727,3625,3584,3575,3610,3608
3426,3466,3578,3780,3664,3611,3527,3681,3571
3507,3369,3274,3525,3570,3450,3589,3509,3611
3616,3304,3414,3558,3528,3337,3520,3478,3705
3520,3371,3293,3421,3292,3269,3347,3490,3489
3567,3568,3509,3555,3441,3519,3512,3549,3521
3406,3470,3438,3437,3331,3419,3427,3423,3449
3101,3170,3171,3069,3220,3123,3159,3030,3005
3151,2986,3211,3160,3208,3121,3139,3247,3226
3411,3400,3409,3403,3423,3404,3431,3464,3435
3551,3582,3562,3562,3566,3576,3573,3594,3569
3435,3487,3451,3438,3429,3458,3444,3462,3434
3053,3095,3039,3024,2950,3053,3021,3040,2982
2825,2817,2812,2810,2806,2755,2747,2753,2881
2896,2891,2862,2863,2876,2829,2842,2888,2901
2608,2660,2568,2601,2747,2610,2783,2767,2751
3057,2897,2833,2880,2919,2759,2930,2885,2857
3249,3120,3167,3173,3187,3150,3177,3161,3174
3274,3307,3328,3309,3321,3309,3324,3313,3329
3277,3281,3284,3279,3281,3292,3295,3285,3301
3513,3524,3535,3526,3523,3538,3528,3532,3533
3635,3651,3647,3634,3632,3642,3645,3640,3645
3351,3354,3276,3265,3244,3297,3320,3296,3324
3039,3007,2838,2923,2953,2935,2950,2981,2945
2972,2916,2904,2970,2992,3024,2976,3021,2994
3114,3055,3126,3117,3129,3156,3124,3113,3121
3117,3092,3124,3110,3118,3134,3111,3098,3117
3118,3131,3097,3131,3115,3112,3111,3132,3113
3412,3411,3402,3413,3410,3408,3409,3419,3410
3316,3321,3308,3293,3302,3304,3313,3315,3309
3551,3550,3553,3544,3549,3544,3548,3557,3540
3488,3489,3492,3484,3487,3485,3490,3499,3484
3139,3145,3141,3136,3121,3152,3149,3121,3158
2984,3007,2977,2974,2907,3015,3008,2956,2999
2864,2831,2902,2809,2799,2838,2898,2888,2850
3012,3012,3024,3039,3025,3007,3022,3039,3003
2945,2932,2933,2974,2926,2963,2892,2993,2879
3187,3597,3457,3200,2882,3164,3032,3193,3442
3906,3973,3876,3638,3487,3655,3748,3520,3995
4094,4059,3929,3806,3763,3850,3950,3507,4134
3897,3933,3768,3702,3657,3696,3817,3218,3959
3403,3771,3654,3462,3238,3489,3639,3389,3583
3294,3650,3559,3427,3484,3621,3551,3363,3540
3426,3489,3484,3553,3464,3405,3417,3351,3512
3281,3303,3476,3583,3351,3245,3327,3322,3423
3286,3205,3322,3436,3384,3079,3344,3231,3387
3151,2930,3164,3221,3257,3170,3181,3156,3205
2840,3000,3318,3234,2958,3152,2938,3151,2944
2987,3052,3118,3172,3080,3007,2781,3108,2682
2732,2836,2776,2754,2683,2747,2876,2703,2628
2430,2621,2398,2687,2528,2503,2660,2630,2541
2509,2482,2420,2501,2376,2449,2471,2501,2340
2333,2507,2397,2363,2362,2388,2330,2387,2372
