data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3363,3344,3167,3346,3326,3236,3341,3339,3329
3823,3821,3818,3822,3823,3820,3823,3819,3820
4094,4096,4093,4094,4095,4094,4095,4093,4094
4189,4191,4189,4190,4189,4191,4191,4190,4190
3975,3977,3975,3975,3976,3978,3977,3976,3975
3601,3599,3596,3595,3601,3604,3599,3600,3601
3218,3202,3205,3211,3216,3224,3200,3210,3211
2937,2854,2906,2908,2929,2924,2894,2868,2922
3015,2997,2997,2909,2955,2891,3036,3021,3011
3427,3441,3392,3375,3390,3264,3424,3402,3394
3586,3577,3568,3538,3595,3521,3588,3575,3574
3473,3481,3482,3496,3606,3494,3528,3518,3515
3384,3398,3417,3415,3490,3363,3443,3437,3425
3238,2966,3214,3091,3337,3110,3192,3172,3227
2937,3005,2925,3121,3146,3026,2907,2908,2873
3047,3127,2998,3157,3091,3049,3105,3034,3004
3142,3089,3032,3168,3109,3143,3139,3128,3082
3190,3152,3218,3177,3152,3200,3190,3160,3151
3000,2970,3098,3107,2950,3082,3061,3006,2980
2926,2803,2826,2903,2866,2812,2813,2902,2882
2865,2953,2791,2832,2821,2857,2848,2897,2916
3482,3474,3425,3418,3396,3397,3415,3389,3396
3746,3722,3691,3694,3670,3661,3669,3660,3661
3727,3704,3678,3710,3668,3647,3666,3649,3647
3494,3549,3468,3585,3502,3461,3495,3437,3432
3152,3377,3127,3309,3217,3276,3165,3056,3112
3022,3098,3005,2993,2868,3095,2831,3000,3073
2924,2820,2947,2842,2733,2872,2697,2903,2956
2999,2852,2952,3039,2846,2905,2926,3016,2983
3215,3152,3160,3238,3125,3135,3143,3178,3149
3202,3197,3163,3165,3198,3174,3167,3174,3167
3066,3048,3039,3113,3303,3392,3189,3339,3076
3455,3671,3381,3468,3574,3677,3619,3736,3695
3797,3948,3783,3706,4043,3913,4033,3826,3961
4144,3992,3959,3946,4162,3943,4140,4208,3951
4075,3946,3819,3816,3859,3740,3972,4035,3659
3676,4113,3649,3733,3451,3627,3709,3531,3564
3826,4120,3705,3567,3665,3721,3296,3379,3595
3809,3792,3623,3554,3705,3664,3459,3622,3756
3385,3379,3426,3379,3462,3297,3296,3479,3534
3361,3348,3304,3199,3205,3173,3217,3222,3233
3357,3260,3378,3183,3220,3200,3214,3220,3164
3232,3140,3206,3130,3326,3083,3249,3109,3287
3225,3232,3133,3140,3247,3065,3243,3124,3264
3187,3177,3166,3145,3214,3219,3073,3183,3152
3331,3151,3153,3155,3186,3259,3060,3186,3116
3466,3071,3267,3209,3216,3488,3103,3013,3271
3387,3073,3281,2920,3329,3472,3198,3204,3317
2995,3072,3066,2924,3211,3154,3189,3130,3134
2986,3025,2850,2885,2931,3118,3136,3082,3104
3125,3188,3056,3168,3111,3196,3152,3133,3128
3169,3257,3058,3299,3122,3256,3291,3060,3048
3242,3366,3419,3363,3267,3308,3408,3217,3237
3212,3392,3511,3216,3357,3287,3274,3125,3174
3330,3351,3398,3349,3404,3169,3277,3038,3087
3386,3180,3056,3592,3346,3404,3320,3171,3193
3197,2861,2762,3467,3041,3382,3169,3169,3109
2862,3017,2802,2988,2891,2944,3076,2967,2861
2978,3112,2794,2975,2929,2830,3156,2785,3083
2774,2862,2726,2812,2760,3012,3063,2835,3288
2782,2762,2927,2806,2775,3098,2888,2763,3325
2709,2711,2764,2811,2721,2965,2682,2652,3108
2577,2445,2431,2514,2506,2653,2515,2541,2552
2509,2392,2360,2301,2413,2471,2391,2310,2348
