data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3500,3495,3506,3496,3507,3499,3510,3502,3501
3772,3772,3779,3773,3776,3773,3777,3775,3776
3883,3884,3889,3884,3888,3886,3888,3884,3886
3837,3835,3836,3834,3836,3835,3836,3835,3834
3645,3643,3646,3645,3646,3644,3644,3644,3645
3488,3488,3487,3486,3488,3482,3486,3486,3486
3532,3531,3531,3532,3532,3530,3530,3528,3530
3403,3403,3403,3400,3405,3400,3400,3399,3402
3043,3045,3055,3061,3062,3052,3059,3069,3053
2844,2835,2816,2808,2823,2822,2804,2857,2766
2678,2674,2663,2663,2668,2674,2659,2691,2661
2345,2308,2305,2269,2291,2344,2366,2373,2356
2302,2251,2223,2286,2302,2288,2252,2220,2273
2231,2200,2160,2185,2162,2204,2202,2195,2206
1979,2008,2042,1934,2003,2017,2016,1949,1852
1914,1969,1910,1887,2024,1963,1950,2003,1979
1905,1939,1804,1848,1890,1751,1922,1876,1898
1935,1911,1921,1881,1884,1916,1806,1909,1978
1706,1771,1941,1812,1891,1921,1888,1967,1969
1732,1792,1803,1772,1843,1929,1851,1781,1937
1878,1832,1808,1879,2027,1951,1603,1912,1945
2032,1953,2034,1919,2053,2122,1993,2035,1998
2222,2202,2201,2186,2181,2289,2252,2233,2196
2246,2283,2339,2299,2264,2341,2325,2368,2310
2246,2254,2343,2303,2301,2311,2310,2367,2294
2132,2040,2247,2234,2203,2158,2198,2250,2193
1908,2054,2081,2054,1893,1920,1937,2065,1975
1802,1933,1964,1976,1733,1899,1889,1970,1902
1715,1860,1847,1790,1841,1843,1698,1847,1817
1730,1789,1753,1796,1764,1792,1829,1572,1766
1774,1689,1785,1723,1757,1761,1698,1655,1671
1785,1653,1796,1794,1846,1696,1735,1624,1821
1756,1844,1742,1725,1832,1772,1783,1645,1747
1685,1818,1719,1788,1756,1786,1800,1727,1636
1763,1918,1771,1803,1549,1599,1733,1776,1735
1682,1868,1715,1686,1718,1922,1645,1674,1659
1789,1917,1771,1654,1747,1952,1809,1668,1625
1887,1949,1824,1665,1847,1963,1858,1529,1766
1768,1880,1890,1736,1871,1946,2006,1753,1833
1892,1866,1984,1829,1935,1847,1953,1709,1949
1931,1739,1800,2004,1881,1630,1768,1682,1778
1747,1890,1838,1900,1858,1825,1703,1848,1874
1692,1854,1890,1948,1777,1741,1813,1896,1904
1919,1906,1889,1977,1862,1619,1850,1933,1990
1958,1864,1852,1942,1845,1821,1900,1935,1970
1973,1863,1826,1842,1997,1846,1938,1960,2055
2039,1750,1808,1778,2012,1799,1874,1987,1755
1816,1682,1793,1795,2024,1914,1923,1790,1891
1963,1852,1944,1903,2028,2000,1932,1777,2023
2103,1936,2026,1930,2057,1948,1983,1936,2005
2123,2102,2127,1940,2033,2010,1898,1890,1950
2198,2235,2208,2076,2174,2081,2085,2055,2149
2413,2408,2408,2382,2441,2419,2425,2343,2423
2572,2600,2602,2585,2616,2600,2609,2538,2598
2645,2677,2679,2704,2693,2694,2727,2645,2713
2681,2681,2706,2761,2735,2722,2756,2706,2770
2616,2654,2686,2748,2717,2716,2753,2709,2774
2529,2524,2567,2682,2623,2638,2702,2681,2699
2510,2524,2520,2580,2555,2534,2589,2558,2586
2462,2535,2451,2470,2480,2447,2465,2535,2544
2471,2515,2446,2369,2430,2430,2528,2570,2546
2569,2555,2430,2432,2440,2431,2542,2483,2566
2637,2588,2577,2551,2522,2517,2568,2486,2564
2659,2553,2621,2557,2556,2549,2572,2451,2508
2640,2551,2516,2550,2624,2542,2590,2291,2549
2599,2571,2672,2663,2702,2694,2702,2532,2627
2734,2825,2735,2822,2776,2773,2775,2688,2708
2868,2958,2834,2931,2910,2867,2832,2817,2835
2964,3031,2925,2998,2998,2953,2897,2917,2913
3018,3051,2976,3034,3069,2992,2932,2938,2931
2990,2971,2925,3012,3072,2965,2865,2837,2898
2948,2791,2896,2915,3021,2880,2924,2875,2961
3100,2958,2996,3001,2965,2897,3054,3034,3017
3202,3138,3108,3124,3086,3096,3115,3132,2984
3217,3179,3165,3187,3164,3163,3218,3187,3137
3147,3113,3142,3150,3128,3147,3193,3153,3112
3008,2900,2988,3045,2996,3012,3012,3048,3002
3095,3131,3071,2986,2980,3054,3025,3079,3082
3121,3183,3094,3099,3143,3124,3116,3152,3144
3109,3162,3073,3142,3158,3171,3146,3151,3120
3115,3119,3049,3117,3116,3097,3111,3088,3041
3108,3070,3053,3074,3105,3040,3147,3022,2976
3121,3120,3039,3039,3115,3110,3122,3017,2959
3125,3114,3052,3066,3123,3112,3049,3012,3048
3047,3043,3050,2994,3065,3026,2941,2850,3001
2888,2932,2978,2962,2935,2883,2882,2702,2903
2861,2847,2878,2888,2849,2825,2756,2808,2781
2905,2896,2843,2925,2858,2818,2889,2697,2850
2967,2864,2881,2881,2901,2910,2929,2851,2861
2899,2761,2859,2795,2895,2893,2867,2815,2808
2762,2832,2797,2780,2795,2754,2718,2772,2713
2773,2903,2841,2860,2804,2756,2809,2837,2816
2783,2925,2868,2806,2846,2709,2708,2838,2814
2781,2905,2846,2833,2850,2736,2801,2727,2785
2739,2826,2746,2767,2769,2799,2847,2783,2731
2634,2706,2762,2801,2819,2748,2867,2831,2713
2636,2799,2826,2804,2829,2805,2831,2843,2657
2779,2808,2821,2739,2831,2817,2791,2823,2644
