data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3475,3483,3489,3500,3491,3500,3496,3499,3493
3756,3761,3766,3765,3762,3770,3766,3770,3766
3874,3877,3878,3877,3877,3881,3877,3879,3879
3827,3826,3828,3830,3829,3830,3828,3828,3828
3635,3635,3635,3635,3636,3637,3636,3638,3637
3484,3483,3486,3485,3485,3489,3486,3486,3488
3523,3522,3525,3524,3524,3523,3523,3526,3526
3391,3393,3396,3392,3393,3394,3394,3394,3395
3046,3046,3045,3022,3050,3034,3036,3029,3033
2822,2822,2794,2812,2818,2827,2821,2819,2826
2644,2630,2644,2635,2636,2639,2631,2650,2646
2293,2320,2327,2296,2329,2330,2210,2301,2258
2274,2254,2281,2262,2252,2287,2205,2281,2283
2024,2040,2110,2074,2063,2036,2089,1998,2096
1970,1923,1958,1955,1886,1907,1856,1878,1961
1838,1867,1854,1824,1826,1780,1874,1979,1962
1795,1785,1812,1773,1714,1873,1804,1803,1777
1877,1761,1770,1692,1742,1889,1836,1819,1697
1855,1905,1870,1745,1738,1838,1835,1883,1805
1774,1755,1721,1771,1691,1764,1828,1835,1654
1904,1845,1886,1856,1730,1840,1802,1880,1853
2050,1939,2020,1902,1868,2022,1961,1876,1986
2169,2116,2162,2149,2060,2122,2081,2071,2226
2248,2215,2217,2265,2193,2191,2162,2166,2291
2180,2211,2231,2232,2207,2215,2147,2140,2238
2022,2138,2116,2101,2119,2153,2006,1898,2151
1927,1980,1943,1893,1946,1923,1829,1837,2020
1824,1828,1906,1788,1915,1859,1893,1826,1819
1905,1821,1856,1681,1796,1706,1865,1857,1843
1887,1717,1780,1734,1852,1869,1929,1804,1841
1879,1840,1747,1818,1779,1711,1922,1815,1835
1730,1945,1745,1730,1780,1627,1927,1774,1886
1796,1884,1915,1810,1780,1882,1782,1803,1804
1855,1909,1881,1878,1811,1922,1651,1816,1749
1849,1900,1952,1867,1631,1926,1736,1831,1691
1888,1918,1838,1686,1553,1903,1902,1841,1778
1966,1850,1823,1765,1717,1895,1871,1877,1789
1904,1835,1876,1752,1814,1741,1737,1807,1893
1766,1823,1903,1742,2002,1923,1832,1909,1737
1859,1857,1997,1830,2039,1923,1948,1920,1727
1824,1882,2021,1839,1952,1870,1820,1864,1845
1826,1881,1983,1891,1894,1789,1873,1947,1762
1902,1993,1924,1988,1912,1944,1838,1936,1753
1785,1981,1933,1929,1954,1924,1863,1709,1876
1856,1951,1940,1937,1953,1900,1985,1810,1855
1973,1817,1963,1918,1886,1929,1961,1863,1826
1930,1778,1929,1881,1865,1986,1832,1954,1837
1859,1755,1837,1616,1888,2051,1848,1985,1793
1960,1777,1824,1736,1864,2030,1876,1883,1879
2005,1837,1912,1800,1958,1861,1974,2024,1881
2006,1974,1975,1817,1996,1970,1978,2012,1995
2044,2034,2042,1984,2097,2074,2084,2048,2064
2039,2082,2072,2089,2173,2151,2164,2120,2152
2082,2084,2129,2107,2193,2169,2166,2122,2073
1952,2197,2222,2157,2159,2338,2206,2226,2161
2226,2366,2330,2292,2292,2480,2339,2303,2300
2380,2479,2468,2488,2479,2592,2464,2435,2460
2410,2458,2465,2508,2451,2594,2451,2465,2520
2353,2333,2286,2391,2340,2481,2345,2425,2500
2233,2209,2226,2257,2283,2278,2261,2284,2358
2204,2214,2200,2174,2232,2176,2208,2114,2059
2294,2263,2345,2334,2255,2323,2183,2298,2322
2312,2360,2372,2434,2317,2437,2302,2448,2424
2324,2465,2373,2385,2274,2475,2365,2515,2479
2449,2546,2526,2446,2503,2523,2350,2515,2531
2428,2540,2578,2512,2582,2603,2518,2489,2527
2544,2553,2415,2609,2598,2611,2598,2572,2604
2695,2649,2671,2693,2665,2652,2632,2647,2714
2873,2819,2830,2804,2765,2675,2805,2841,2874
2990,2935,2897,2838,2862,2838,2930,2967,2990
3034,2939,2916,2812,2919,2878,2962,2980,3034
2989,2874,2875,2841,2927,2882,2903,2884,2968
2954,2704,2767,2834,2984,2879,2824,2795,2757
2878,2850,2750,2861,3000,2858,2867,2816,2799
2930,2814,2788,2866,2933,2865,2853,2799,2778
2969,2768,2765,2848,2891,2752,2857,2755,2765
2974,2902,2794,2922,2896,2836,2953,2855,2886
2944,2984,2872,2974,2949,2936,3016,3004,2968
2855,3035,2934,2984,2956,2954,2995,3023,2923
2882,2992,2952,2931,2826,2901,2906,2991,2878
2819,2896,2872,2840,2917,2743,2841,2900,2892
2803,2785,2862,2804,2923,2781,2809,2816,2854
2881,2780,2738,2765,2867,2760,2806,2832,2852
2902,2786,2691,2758,2733,2751,2773,2761,2817
2961,2835,2767,2738,2862,2766,2800,2852,2881
2991,2867,2801,2813,2923,2801,2838,2857,2899
2965,2833,2790,2888,2895,2804,2867,2880,2842
2845,2778,2800,2844,2854,2795,2865,2863,2722
2829,2794,2832,2776,2806,2764,2812,2813,2721
2886,2756,2766,2783,2723,2693,2731,2769,2676
2853,2690,2795,2777,2703,2697,2737,2771,2762
2745,2658,2765,2759,2739,2687,2699,2731,2740
2765,2679,2687,2676,2642,2583,2693,2709,2664
2719,2673,2625,2553,2543,2562,2678,2630,2560
2758,2669,2618,2555,2579,2510,2659,2625,2559
2711,2659,2650,2599,2680,2644,2641,2612,2642
2614,2601,2586,2558,2676,2657,2650,2657,2633
2448,2615,2545,2625,2602,2557,2477,2601,2516
2533,2652,2582,2577,2641,2555,2528,2522,2572
2514,2671,2593,2685,2710,2652,2612,2555,2592
2461,2623,2590,2687,2695,2640,2616,2574,2595
2496,2567,2583,2626,2629,2566,2590,2555,2621
2473,2539,2572,2562,2502,2496,2572,2509,2602
2424,2490,2558,2506,2454,2474,2531,2495,2550
2457,2395,2509,2500,2336,2526,2550,2562,2540
2378,2431,2456,2475,2478,2567,2560,2522,2554
2347,2391,2439,2434,2517,2492,2518,2467,2549
2314,2428,2460,2398,2519,2395,2402,2387,2507
2472,2418,2443,2361,2518,2418,2423,2380,2473
2536,2403,2496,2389,2529,2506,2438,2459,2528
2532,2480,2470,2455,2463,2512,2421,2461,2533
2581,2532,2486,2440,2383,2501,2409,2448,2457
2525,2497,2438,2353,2361,2404,2365,2353,2428
2448,2316,2344,2436,2382,2364,2263,2254,2282
2467,2410,2432,2506,2365,2345,2367,2368,2457
2387,2470,2488,2488,2487,2410,2412,2232,2476
2428,2412,2563,2426,2481,2310,2416,2371,2428
2534,2482,2576,2387,2474,2343,2455,2445,2406
2523,2470,2585,2486,2509,2496,2552,2537,2525
2348,2466,2637,2556,2594,2634,2644,2656,2602
2389,2569,2707,2538,2654,2711,2701,2756,2693
2440,2620,2740,2655,2670,2750,2731,2795,2749
2470,2641,2761,2701,2682,2731,2739,2794,2763
2569,2572,2765,2681,2703,2648,2660,2759,2719
2604,2509,2730,2602,2657,2618,2606,2714,2651
2623,2461,2705,2439,2632,2555,2602,2697,2664
2612,2515,2653,2504,2618,2581,2620,2644,2661
2654,2517,2614,2615,2642,2646,2639,2630,2642
2624,2568,2614,2677,2692,2682,2650,2679,2665
2684,2540,2537,2658,2748,2641,2588,2667,2656
2682,2530,2582,2583,2740,2461,2502,2606,2571
2625,2597,2684,2520,2663,2487,2606,2587,2467
2621,2618,2685,2575,2587,2614,2665,2559,2533
2697,2710,2608,2603,2653,2700,2600,2516,2558
2723,2799,2638,2537,2686,2720,2618,2557,2759
2730,2863,2773,2674,2731,2773,2816,2751,2905
2771,2894,2869,2721,2758,2868,2909,2865,2952
2838,2876,2909,2745,2756,2893,2931,2885,2937
2858,2807,2910,2772,2778,2877,2883,2784,2881
2803,2725,2826,2794,2765,2801,2783,2704,2750
2710,2770,2663,2721,2694,2716,2661,2645,2505
