data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3530,3535,3535,3520,3530,3534,3529,3530,3519
3754,3753,3754,3754,3753,3752,3753,3753,3749
3866,3866,3864,3867,3865,3865,3866,3866,3863
3818,3816,3815,3816,3817,3817,3817,3816,3817
3624,3625,3625,3624,3626,3626,3625,3624,3625
3484,3487,3485,3485,3486,3490,3486,3487,3488
3504,3505,3504,3506,3505,3504,3507,3507,3504
3376,3378,3377,3380,3379,3378,3382,3378,3376
3049,3050,3043,3050,3045,3047,3048,3050,3045
2812,2820,2813,2806,2801,2797,2799,2797,2819
2596,2569,2589,2592,2584,2591,2591,2582,2583
2303,2308,2332,2300,2323,2304,2270,2280,2333
2250,2218,2236,2249,2244,2214,2194,2229,2266
2139,1990,2035,2026,2006,2004,2052,1951,1991
1884,1893,1919,1875,1983,1957,1982,1857,1946
1758,1893,1918,1886,1810,1891,1907,1873,1763
1736,1754,1727,1811,1651,1633,1701,1814,1786
1758,1650,1708,1738,1628,1691,1722,1544,1766
1696,1724,1834,1739,1682,1805,1808,1691,1531
1604,1826,1882,1805,1804,1906,1843,1810,1631
1833,1904,1856,1956,2007,1872,1844,1934,1875
1989,2074,2024,2008,2084,2161,2031,2054,2101
2200,2157,2255,2258,2227,2297,2196,2250,2265
2346,2342,2349,2361,2369,2369,2301,2359,2365
2295,2301,2246,2326,2295,2279,2337,2317,2302
2196,2171,2006,2236,2209,2250,2242,2086,2114
2093,2044,2007,2067,2102,2109,2067,1929,2039
1781,1884,1761,1901,1923,1832,1825,1675,1934
1867,1750,1666,1823,1806,1765,1718,1845,1764
1901,1838,1852,1778,1768,1858,1754,1795,1837
1924,1927,1781,1721,1661,1793,1698,1820,1801
1637,1820,1777,1887,1731,1833,1738,1761,1762
1804,1833,1810,1870,1813,1724,1781,1876,1754
1862,1799,1791,1761,1889,1763,1817,1823,1692
1848,1839,1610,1797,1739,1725,1767,1845,1886
1935,1858,1717,1694,1668,1812,1806,1930,1804
2034,1894,1806,1902,1836,1736,1804,1956,1851
2015,1985,1914,2030,2027,1929,1783,2072,2012
1974,2022,2014,1968,2048,1932,1803,2108,2020
2007,1975,2069,1993,2053,1996,1910,2112,1971
1969,1884,1921,1863,2020,1949,1880,1965,1851
1755,1798,1856,1778,1932,1630,1768,1917,1726
1810,1845,1948,1816,1941,1900,1792,1914,1712
1855,1767,1894,1867,1857,1953,1812,1908,1884
1777,1783,1832,1861,1884,1863,1808,1781,1963
1873,1734,1809,1867,1806,1916,1857,1728,2038
1830,1713,1865,1827,1728,1939,1816,1663,2065
1871,1835,1717,1802,1735,1923,1777,1674,1996
1758,1896,1859,1857,1865,1960,1928,1735,2060
2087,2148,2179,2155,2251,2148,2237,2071,2167
2442,2473,2490,2473,2504,2480,2491,2452,2467
2654,2671,2666,2661,2679,2658,2651,2636,2658
2776,2781,2777,2788,2779,2774,2779,2770,2769
2794,2800,2794,2810,2787,2803,2797,2786,2794
2766,2778,2761,2781,2751,2784,2765,2767,2765
2656,2680,2672,2686,2653,2691,2672,2669,2676
2557,2596,2573,2587,2542,2588,2569,2605,2598
2456,2535,2515,2517,2449,2468,2509,2518,2512
2470,2459,2421,2446,2419,2405,2456,2443,2478
2409,2401,2383,2382,2396,2376,2450,2286,2415
2336,2373,2362,2302,2311,2338,2405,2363,2379
2369,2371,2292,2300,2284,2302,2372,2383,2361
2387,2348,2376,2380,2342,2359,2333,2368,2345
2406,2387,2416,2411,2419,2425,2388,2412,2344
2440,2450,2406,2356,2479,2440,2446,2398,2428
2535,2513,2513,2532,2494,2469,2500,2491,2514
2640,2626,2626,2619,2588,2545,2596,2599,2622
2689,2646,2638,2671,2678,2651,2652,2631,2671
2738,2711,2715,2714,2731,2710,2721,2692,2738
2770,2768,2763,2787,2794,2790,2780,2767,2764
2841,2830,2810,2853,2833,2836,2831,2830,2822
2906,2898,2888,2894,2881,2902,2885,2889,2890
2942,2934,2930,2930,2936,2942,2936,2932,2922
2950,2941,2944,2926,2933,2939,2947,2926,2926
2951,2957,2953,2936,2952,2938,2949,2932,2940
2914,2928,2924,2924,2931,2920,2924,2913,2919
2893,2901,2902,2912,2904,2900,2907,2888,2889
