data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3515,3514,3505,3511,3511,3518,3507,3518,3526
3743,3748,3745,3747,3747,3754,3745,3751,3748
3861,3863,3861,3861,3862,3864,3862,3863,3862
3812,3813,3813,3812,3813,3814,3813,3814,3814
3624,3625,3623,3623,3622,3624,3623,3621,3622
3483,3483,3484,3485,3487,3486,3485,3484,3485
3504,3501,3503,3504,3503,3505,3502,3503,3505
3376,3376,3378,3375,3376,3376,3376,3374,3379
3044,3044,3052,3050,3047,3047,3046,3044,3046
2804,2810,2806,2829,2829,2822,2813,2821,2815
2588,2583,2564,2588,2604,2597,2573,2603,2586
2320,2310,2255,2323,2297,2312,2331,2336,2326
2175,2232,2162,2261,2234,2258,2264,2246,2214
2058,2051,1986,1973,2123,2010,2019,2058,2055
2022,1909,2023,1895,1943,1892,1975,1939,2032
1877,1937,1885,1935,1956,1963,1892,1929,1906
1637,1790,1649,1682,1662,1652,1854,1749,1718
1710,1708,1695,1872,1847,1636,1756,1664,1731
1727,1858,1799,1709,1807,1760,1882,1550,1670
1823,1910,1891,1705,1799,1859,1817,1839,1717
1902,2016,1953,1974,1901,1870,2006,1951,1990
2112,2072,1991,2088,2087,2108,2135,2025,2132
2226,2223,2220,2235,2223,2264,2230,2200,2228
2329,2334,2323,2337,2346,2343,2318,2283,2342
2345,2269,2332,2355,2357,2314,2266,2269,2324
2275,2182,2245,2261,2262,2253,2183,2280,2211
2146,1950,2123,2096,2135,2106,2044,2059,2038
1973,1756,1679,1844,1789,1916,1890,1911,1851
1817,1618,1801,1926,1701,1743,1784,1864,1732
1813,1777,1831,1984,1763,1766,1817,1844,1711
1969,1652,1768,1863,1829,1835,1795,1866,1853
1935,1773,1809,1881,1809,1765,1879,1846,1878
1807,1807,1784,1891,1781,1775,1844,1778,1663
1894,1907,1772,1732,1903,1752,1707,1746,1774
1849,1876,1814,1788,1847,1839,1752,1897,1816
1828,1773,1911,1767,1894,1885,1746,1787,1694
1856,1860,1870,1620,1950,1801,1719,1849,1833
1898,1956,1956,1887,2022,1950,1949,1928,1843
2002,2015,1914,1935,2079,2052,2021,2006,1934
1955,1948,1933,1942,2104,1999,1984,2044,1936
2028,1997,1961,1988,1915,1934,1884,1979,1796
2007,1927,1843,1957,1735,1846,1896,1968,1820
1900,1874,1925,1867,1937,1893,1777,1942,1744
1938,1891,1908,1813,1846,1789,1838,1768,1885
1923,1801,1832,1733,1730,1867,1826,1847,1872
1975,1847,1855,1716,1710,1903,1822,1697,1812
1833,1832,1809,1827,1751,1720,1831,1781,1861
1770,1831,1902,1862,1795,1773,1844,1765,1862
1871,1920,1951,1961,1839,1918,1826,1787,1958
2176,2151,2132,2261,2126,2222,2177,2123,2135
2460,2497,2476,2505,2485,2464,2475,2455,2466
2683,2697,2683,2703,2692,2677,2687,2678,2684
2777,2795,2790,2788,2793,2779,2791,2788,2780
2803,2813,2816,2804,2828,2807,2813,2817,2791
2760,2780,2792,2756,2789,2780,2784,2796,2762
2662,2685,2703,2689,2694,2690,2677,2711,2676
2579,2605,2606,2616,2594,2610,2584,2600,2594
2469,2509,2523,2520,2477,2508,2500,2501,2506
2392,2404,2461,2438,2350,2430,2437,2415,2442
2375,2416,2439,2425,2421,2397,2432,2431,2454
2414,2422,2447,2437,2428,2417,2462,2464,2485
2426,2390,2400,2419,2353,2391,2430,2456,2441
2347,2323,2336,2310,2340,2315,2341,2288,2300
2365,2409,2365,2403,2427,2362,2390,2348,2315
2458,2413,2394,2375,2448,2458,2440,2443,2429
2547,2554,2534,2588,2544,2575,2560,2562,2540
2622,2634,2609,2634,2616,2635,2608,2613,2616
2699,2679,2675,2691,2683,2678,2652,2661,2651
2788,2766,2756,2753,2759,2786,2739,2752,2751
2845,2821,2818,2804,2814,2834,2803,2813,2800
2859,2833,2862,2833,2839,2845,2829,2844,2853
2874,2860,2881,2855,2847,2859,2857,2871,2859
2879,2870,2894,2872,2840,2865,2863,2876,2847
2855,2889,2880,2857,2905,2894,2875,2881,2854
2903,2920,2903,2907,2920,2916,2916,2909,2901
2891,2903,2886,2885,2909,2892,2899,2896,2882
2878,2879,2865,2864,2877,2856,2876,2865,2855
2840,2843,2818,2821,2825,2818,2829,2819,2818
2799,2808,2777,2797,2799,2787,2798,2796,2793
2773,2790,2765,2769,2756,2762,2766,2761,2771
2733,2758,2729,2741,2728,2738,2733,2727,2723
2733,2724,2751,2744,2720,2749,2742,2754,2716
2769,2739,2734,2732,2736,2719,2726,2744,2741
2713,2700,2717,2683,2747,2767,2763,2727,2763
2792,2802,2794,2792,2801,2792,2822,2794,2818
2730,2718,2716,2717,2734,2712,2753,2704,2754
2574,2568,2569,2613,2596,2500,2632,2630,2615
2633,2657,2659,2651,2645,2677,2682,2676,2639
2638,2642,2622,2618,2606,2646,2646,2636,2621
2455,2483,2399,2477,2488,2511,2489,2506,2465
2496,2508,2526,2518,2478,2518,2458,2505,2514
2549,2550,2560,2558,2557,2546,2546,2556,2568
2564,2531,2520,2566,2561,2514,2523,2544,2582
2543,2508,2496,2572,2557,2470,2474,2501,2571
2535,2492,2470,2532,2554,2517,2477,2516,2570
2556,2515,2539,2535,2572,2565,2493,2555,2594
2547,2500,2500,2532,2544,2547,2483,2502,2573
2515,2522,2523,2522,2519,2515,2504,2492,2560
2453,2459,2489,2485,2484,2492,2487,2471,2479
2411,2407,2450,2469,2481,2395,2456,2442,2446
2380,2371,2470,2456,2464,2413,2500,2494,2471
2437,2355,2445,2309,2358,2341,2313,2397,2397
2355,2432,2366,2313,2367,2379,2239,2417,2405
2409,2419,2406,2313,2396,2414,2356,2458,2397
2310,2287,2346,2225,2322,2329,2350,2364,2350
2365,2434,2426,2311,2447,2399,2446,2429,2389
2483,2341,2499,2464,2530,2507,2469,2552,2451
2572,2584,2530,2556,2587,2570,2530,2583,2575
2581,2595,2525,2586,2599,2586,2521,2609,2585
2568,2577,2518,2601,2577,2584,2557,2598,2573
2510,2563,2531,2537,2541,2483,2503,2555,2536
2568,2558,2574,2558,2552,2570,2534,2557,2552
2661,2657,2651,2639,2653,2676,2644,2656,2643
2683,2686,2678,2680,2693,2691,2677,2687,2672
2691,2688,2687,2688,2684,2690,2686,2684,2669
2631,2639,2603,2637,2631,2619,2638,2619,2609
2476,2433,2479,2474,2458,2464,2491,2509,2450
2530,2560,2516,2544,2564,2579,2551,2560,2542
2569,2586,2542,2560,2566,2590,2576,2610,2560
2575,2584,2585,2593,2589,2615,2602,2616,2595
2640,2622,2650,2657,2665,2672,2657,2671,2670
2700,2697,2728,2704,2721,2726,2732,2740,2727
2706,2727,2727,2714,2725,2730,2727,2745,2737
2723,2720,2707,2735,2726,2751,2718,2678,2716
2715,2714,2715,2732,2715,2718,2720,2703,2725
2671,2676,2660,2673,2657,2648,2657,2666,2671
2626,2627,2645,2643,2636,2594,2593,2650,2654
2654,2638,2679,2665,2650,2653,2649,2690,2662
2704,2703,2703,2714,2705,2723,2703,2733,2703
2772,2788,2754,2775,2761,2787,2774,2774,2763
2812,2837,2801,2814,2810,2830,2814,2819,2807
2789,2830,2793,2804,2810,2819,2814,2815,2816
2758,2772,2749,2792,2783,2795,2796,2768,2779
2690,2685,2663,2739,2698,2715,2724,2666,2683
2682,2679,2672,2701,2668,2688,2666,2682,2688
2652,2664,2651,2654,2629,2646,2629,2672,2642
2605,2593,2599,2575,2586,2603,2570,2614,2590
2671,2636,2600,2588,2588,2615,2612,2619,2590
2718,2690,2658,2676,2633,2706,2664,2695,2659
2761,2735,2755,2757,2743,2719,2743,2759,2715
2773,2752,2765,2767,2754,2741,2741,2771,2721
2807,2779,2803,2813,2796,2786,2794,2775,2801
2864,2854,2871,2873,2868,2859,2857,2873,2864
2860,2847,2858,2864,2868,2859,2841,2862,2859
2797,2791,2788,2804,2812,2803,2800,2802,2810
2705,2708,2709,2681,2702,2724,2691,2718,2710
2765,2774,2764,2763,2748,2776,2763,2756,2784
2815,2821,2804,2823,2802,2807,2819,2797,2826
2749,2758,2748,2764,2745,2741,2761,2740,2762
2591,2617,2599,2603,2594,2583,2615,2602,2581
2470,2493,2463,2515,2486,2537,2543,2516,2447
2517,2522,2536,2550,2522,2521,2558,2519,2469
2525,2497,2524,2468,2474,2535,2485,2504,2480
2469,2438,2535,2526,2472,2521,2532,2514,2530
2560,2553,2597,2531,2569,2512,2544,2566,2561
2613,2622,2632,2622,2629,2604,2608,2605,2621
2638,2648,2662,2672,2647,2649,2643,2653,2659
2675,2680,2694,2707,2688,2698,2672,2674,2697
2728,2726,2754,2746,2748,2745,2743,2718,2746
2755,2794,2789,2778,2775,2790,2796,2803,2778
2967,2984,2986,2998,2992,2988,2995,2999,2993
3038,3051,3042,3063,3058,3046,3065,3063,3059
2986,2999,2983,3019,3020,2998,3020,3021,3018
2868,2866,2858,2873,2896,2887,2892,2897,2889
2692,2700,2677,2709,2720,2697,2701,2710,2713
2603,2619,2615,2623,2644,2656,2626,2649,2629
2627,2636,2646,2655,2657,2655,2657,2674,2640
2525,2579,2586,2596,2612,2565,2576,2607,2553
2564,2589,2577,2577,2574,2588,2602,2587,2587
2520,2535,2510,2529,2540,2519,2475,2502,2525
2628,2628,2627,2599,2652,2661,2627,2620,2629
2641,2639,2636,2608,2620,2633,2615,2612,2636
2599,2564,2578,2572,2535,2621,2562,2524,2497
2673,2668,2647,2669,2642,2662,2666,2654,2642
2678,2677,2655,2673,2657,2677,2691,2666,2681
2644,2650,2662,2669,2657,2669,2677,2703,2666
2727,2719,2721,2737,2737,2735,2701,2749,2728
2717,2694,2694,2708,2715,2700,2706,2724,2715
2683,2671,2688,2657,2686,2675,2678,2661,2660
2681,2689,2688,2673,2706,2689,2690,2664,2670
2641,2669,2681,2637,2667,2684,2654,2645,2631
2615,2628,2651,2592,2633,2647,2633,2629,2607
2607,2602,2601,2600,2597,2593,2589,2611,2613
2679,2658,2648,2683,2673,2677,2670,2661,2675
2695,2682,2685,2696,2674,2666,2664,2652,2612
2774,2739,2764,2748,2753,2734,2752,2744,2737
2912,2890,2915,2907,2896,2901,2910,2898,2894
3039,3035,3050,3040,3035,3031,3044,3040,3031
3115,3108,3114,3114,3112,3107,3118,3111,3107
3077,3078,3080,3074,3079,3076,3078,3072,3075
2928,2923,2926,2923,2927,2923,2937,2930,2932
2675,2672,2599,2625,2642,2680,2639,2537,2552
2692,2667,2691,2669,2693,2695,2706,2672,2672
2682,2647,2670,2689,2661,2662,2719,2621,2603
2835,2820,2820,2809,2818,2830,2830,2799,2808
2919,2907,2917,2903,2921,2915,2922,2906,2913
2952,2946,2948,2942,2955,2949,2958,2951,2958
2892,2890,2888,2887,2885,2890,2895,2902,2895
2670,2713,2659,2640,2668,2694,2649,2699,2700
3051,3043,3051,3049,3054,3056,3055,3051,3051
3208,3205,3213,3206,3216,3218,3214,3210,3214
3249,3246,3252,3246,3254,3254,3249,3251,3252
3204,3199,3206,3204,3207,3204,3204,3200,3204
3150,3149,3147,3150,3153,3148,3143,3141,3138
3104,3105,3103,3104,3111,3113,3098,3097,3094
2997,3001,3019,2993,2999,3015,3006,2988,3003
3252,3253,3252,3253,3256,3255,3260,3256,3255
3452,3450,3450,3451,3455,3450,3454,3448,3450
3547,3543,3543,3546,3543,3542,3547,3542,3544
3569,3568,3566,3571,3567,3567,3572,3569,3569
3505,3501,3507,3504,3501,3510,3506,3503,3502
3343,3340,3346,3347,3343,3346,3347,3343,3344
2981,2994,3005,2995,2994,3002,3008,3002,3005
2522,2503,2527,2554,2553,2542,2554,2520,2515
2670,2640,2625,2678,2671,2646,2645,2640,2662
2610,2610,2551,2607,2614,2588,2574,2571,2577
2467,2470,2395,2462,2440,2451,2361,2415,2409
2390,2442,2372,2356,2476,2455,2401,2441,2384
2324,2324,2378,2358,2337,2356,2416,2333,2355
2377,2429,2416,2361,2392,2364,2364,2329,2309
2465,2467,2414,2414,2443,2431,2350,2394,2447
2483,2453,2482,2474,2482,2418,2431,2463,2501
2467,2517,2487,2436,2490,2411,2435,2432,2471
2554,2585,2496,2502,2522,2539,2480,2483,2465
2594,2509,2591,2558,2578,2566,2511,2513,2535
2352,2492,2459,2481,2506,2520,2496,2440,2513
2496,2413,2495,2509,2541,2462,2541,2524,2513
2556,2515,2548,2514,2567,2514,2583,2542,2539
2540,2575,2549,2523,2549,2493,2508,2481,2490
2545,2560,2531,2516,2541,2517,2481,2431,2405
2524,2515,2480,2482,2490,2489,2464,2382,2429
2449,2424,2439,2429,2421,2421,2413,2315,2375
2380,2376,2381,2422,2416,2355,2367,2396,2310
2423,2406,2445,2443,2417,2390,2376,2426,2345
2430,2410,2406,2434,2393,2372,2365,2356,2373
2305,2247,2300,2335,2278,2247,2299,2310,2297
2334,2343,2360,2329,2340,2386,2282,2314,2371
2277,2294,2330,2298,2315,2342,2250,2257,2293
2130,2110,2218,2079,2206,2252,2171,2029,2187
2193,2155,2151,2112,2172,2186,2186,2116,2156
2202,2138,2156,2130,2190,2182,2117,2097,2156
2103,2090,2122,2076,2119,2092,2061,2062,2111
1949,1926,2014,1926,1982,1944,1981,1902,2023
1878,1981,2041,1942,1967,1888,1844,1993,1996
1900,2020,2046,1967,1979,1966,1977,2006,2081
1965,2025,2052,1978,2061,2012,2045,2033,2110
1920,1901,1984,1941,2039,1937,2003,2026,2040
1870,1815,1871,1828,1916,1862,1858,1833,1893
1756,1763,1686,1766,1812,1893,1746,1675,1887
2034,2027,2032,1961,2006,1995,2071,2043,2084
2296,2259,2305,2269,2251,2294,2316,2283,2323
2524,2530,2529,2520,2518,2534,2537,2525,2550
2700,2706,2706,2699,2692,2708,2718,2698,2714
2828,2833,2837,2827,2819,2818,2830,2820,2818
2930,2933,2928,2911,2914,2910,2926,2938,2954
3233,3231,3217,3223,3226,3221,3220,3233,3247
