data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3508,3508,3505,3503,3505,3508,3512,3511,3514
3777,3773,3773,3773,3772,3774,3774,3776,3777
3883,3882,3881,3883,3882,3883,3884,3883,3883
3832,3831,3831,3830,3831,3831,3831,3831,3833
3644,3645,3645,3644,3645,3644,3645,3644,3645
3492,3493,3494,3493,3497,3494,3495,3491,3492
3523,3524,3524,3523,3522,3524,3524,3525,3524
3394,3395,3393,3395,3392,3396,3395,3397,3395
3062,3062,3062,3065,3063,3067,3065,3068,3058
2843,2834,2841,2846,2843,2862,2842,2848,2852
2623,2627,2628,2634,2629,2653,2620,2640,2626
2294,2257,2345,2342,2313,2274,2283,2332,2350
2267,2271,2311,2319,2312,2260,2292,2243,2307
2166,2061,1935,1940,1851,2028,2046,2068,2004
1991,1911,1953,1773,1937,1899,1958,1953,1973
1870,1922,1887,1927,1927,1924,1871,1878,1874
1725,1636,1816,1845,1730,1713,1844,1725,1770
1732,1823,1696,1709,1883,1855,1773,1704,1661
1733,1850,1760,1697,1757,1748,1747,1740,1825
1730,1751,1838,1732,1780,1771,1812,1817,1721
1876,1952,2037,2042,1944,2052,1954,2041,1835
2165,2181,2197,2214,2181,2212,2148,2202,2119
2306,2307,2372,2345,2349,2367,2301,2350,2332
2400,2384,2423,2428,2420,2441,2442,2387,2452
2415,2399,2446,2440,2447,2448,2453,2423,2457
2312,2250,2325,2325,2345,2315,2316,2291,2356
2106,2035,2104,2112,2153,2099,2092,2094,2179
1968,1785,1884,1923,2015,1797,1779,1907,1972
1829,1683,1743,1806,1813,1775,1792,1787,1780
1891,1677,1823,1849,1765,1684,1712,1676,1717
1984,1627,1816,1954,1925,1843,1902,1719,1812
1882,1799,1908,2135,2087,2060,1998,1793,1956
1898,1906,2115,2209,2133,2105,2042,1836,1845
1957,1991,2104,2160,2056,2097,2016,1885,1858
1898,2133,2121,2003,1810,2061,2014,2041,1898
1950,2107,2021,1883,1842,1849,1900,2077,1959
2081,2107,2032,2036,1926,1971,1999,2042,2057
2196,2183,2207,2159,2112,2160,2141,2195,2168
2287,2279,2239,2212,2243,2260,2243,2285,2284
2249,2225,2241,2191,2257,2214,2203,2269,2263
2194,2013,2065,2091,2065,2096,2095,2160,2092
2018,1871,1913,1910,1889,2050,2024,2056,1915
1898,1767,1679,1855,1750,1898,2053,1970,1971
1967,1947,1800,1878,1849,1890,1973,1988,1903
1968,1941,1861,1836,1914,1919,1847,1934,1883
1923,1736,1870,1915,1922,1974,1863,1939,2025
1896,1807,1952,1887,1895,2019,1705,1951,1898
1875,1850,1915,1832,1887,1949,1766,1841,1911
1938,1950,1940,1903,1968,1806,1758,1944,1877
2185,2222,2169,2147,2225,2160,2158,2125,2138
2483,2505,2487,2457,2491,2470,2503,2463,2451
2666,2674,2668,2659,2674,2671,2673,2656,2645
2719,2735,2724,2715,2735,2736,2731,2722,2724
2629,2630,2637,2627,2627,2633,2637,2617,2634
2595,2603,2604,2588,2596,2597,2621,2585,2581
2572,2598,2559,2607,2586,2588,2580,2565,2542
2605,2627,2676,2611,2662,2652,2648,2648,2632
2558,2532,2559,2517,2557,2586,2592,2590,2594
2492,2464,2494,2469,2532,2423,2476,2404,2526
2445,2502,2459,2475,2519,2416,2452,2449,2514
2384,2484,2456,2445,2500,2422,2459,2401,2493
2432,2459,2394,2372,2447,2359,2430,2412,2435
2388,2422,2384,2340,2362,2356,2419,2360,2399
2379,2336,2408,2376,2372,2338,2427,2356,2371
2336,2278,2351,2239,2280,2236,2348,2334,2273
2300,2245,2267,2268,2224,2239,2312,2287,2172
2362,2240,2247,2275,2242,2319,2275,2326,2251
