data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3590,3595,3598,3595,3600,3600,3605,3607,3596
3818,3820,3824,3822,3822,3822,3825,3826,3819
3911,3911,3915,3913,3914,3916,3915,3916,3913
3853,3853,3854,3853,3855,3856,3856,3856,3855
3656,3657,3657,3657,3660,3660,3661,3660,3661
3491,3490,3490,3488,3492,3494,3493,3496,3493
3543,3543,3545,3544,3544,3544,3546,3544,3543
3407,3406,3405,3407,3408,3408,3410,3408,3408
3042,3035,3032,3025,3041,3054,3052,3057,3052
2917,2916,2919,2922,2923,2928,2917,2882,2895
2763,2771,2770,2776,2779,2778,2745,2697,2723
2563,2559,2564,2571,2570,2568,2538,2469,2506
2449,2483,2481,2493,2516,2501,2508,2434,2462
2431,2470,2448,2466,2478,2461,2459,2352,2433
2400,2440,2446,2421,2399,2424,2382,2417,2415
2357,2415,2420,2405,2412,2398,2388,2452,2428
2254,2226,2284,2305,2258,2258,2190,2265,2145
2150,2137,2204,2161,2271,2168,2057,2126,2150
2135,2053,2118,2061,2143,2066,1992,2094,2078
1961,1893,1989,1886,1909,1972,1876,1854,2003
1757,1913,1939,1816,1836,1914,1845,1855,1787
1897,1904,1890,1789,1884,2012,1821,1670,1796
1764,1733,1826,1846,1677,1805,1719,1729,1801
1683,1742,1825,1659,1697,1798,1747,1677,1743
1688,1732,1733,1696,1788,1658,1741,1803,1840
1703,1744,1851,1803,1642,1558,1808,1621,1805
1781,1795,1783,1787,1776,1672,1733,1590,1841
1747,1732,1846,1838,1667,1717,1725,1629,1753
1808,1736,1834,1910,1745,1694,1789,1829,1682
1630,1778,1840,1885,1799,1633,1846,1824,1746
1675,1606,1922,1795,1890,1726,1742,1809,1664
1588,1788,1888,1819,1838,1797,1789,1839,1738
1678,1798,1891,1868,1814,1772,1841,1750,1658
1730,1793,1934,1789,1806,1802,1794,1767,1717
1836,1883,1849,1791,1795,1748,1827,1672,1673
1833,1830,1936,1753,1863,1798,1905,1707,1832
1783,1700,1884,1692,1788,1799,1921,1820,1800
1897,1634,1799,1661,1743,1816,1811,1877,1849
1862,1644,1735,1830,1807,1766,1835,1941,1917
1660,1735,1849,1712,1778,1835,1728,1953,1922
1808,1785,1838,1761,1736,1800,1751,1989,2041
1803,1677,1819,1708,1883,1862,1727,1988,2108
1727,1822,1757,1910,2026,1838,1854,1941,1951
1795,1947,1843,1936,1954,1765,1924,1970,1984
1671,1985,1859,1969,1933,1829,1897,1935,1793
1764,1991,1773,1869,1867,1844,1864,1812,1909
1796,1946,1860,1842,1823,1992,1822,1701,1890
1851,1880,1895,1877,1907,1957,1929,1685,1879
1859,1854,1753,1796,1929,1744,1998,1766,1791
1805,1744,1552,1877,1853,1810,1881,1860,1663
1760,1724,1624,1684,1730,1842,1700,1923,1677
1662,1698,1818,1711,1738,1712,1830,1881,1684
1576,1740,1723,1813,1708,1677,1765,1858,1746
1723,1833,1781,1907,1837,1772,1698,1785,1847
1799,1668,1819,1942,1741,1750,1771,1693,1907
1763,1570,1818,1820,1761,1980,1693,1688,1892
1811,1783,1839,1684,1639,1837,1731,1654,1829
1857,1897,1860,1949,1598,1876,1499,1559,1715
1821,1800,1746,1918,1552,1858,1655,1597,1877
1863,1826,1716,1931,1862,1885,1690,1814,1906
1861,1821,1782,1926,1743,1893,1719,1883,1773
1931,1873,1844,1907,1902,1921,1841,1873,1745
1974,1982,1925,2043,1897,1905,2013,1907,1952
2070,2022,2034,2135,1973,1908,2151,2031,2067
2232,2181,2130,2261,2195,2226,2205,2230,2235
2315,2255,2202,2285,2284,2288,2195,2342,2303
2286,2260,2212,2177,2254,2276,2185,2288,2240
2188,2220,2204,2101,2182,2230,2238,2183,2215
2305,2241,2277,2245,2355,2258,2392,2260,2278
2434,2323,2406,2407,2453,2392,2461,2361,2399
2544,2496,2535,2517,2566,2509,2470,2418,2512
2652,2628,2658,2656,2639,2666,2613,2585,2635
2685,2649,2690,2661,2659,2693,2658,2633,2690
2632,2584,2624,2589,2594,2639,2601,2572,2652
2474,2426,2443,2412,2405,2470,2453,2440,2506
2188,2269,2263,2264,2294,2313,2181,2194,2319
2321,2435,2427,2357,2420,2401,2350,2277,2337
2396,2483,2446,2436,2476,2462,2420,2354,2402
2407,2480,2392,2440,2480,2442,2423,2371,2416
2403,2446,2356,2452,2479,2447,2393,2377,2437
2347,2362,2359,2421,2451,2384,2367,2362,2308
2463,2438,2478,2422,2485,2433,2433,2380,2435
2495,2471,2519,2480,2488,2499,2476,2463,2504
2568,2591,2558,2513,2572,2591,2574,2523,2559
2671,2715,2688,2545,2656,2710,2655,2606,2650
2748,2776,2790,2643,2766,2793,2743,2654,2726
2794,2803,2815,2692,2805,2803,2773,2672,2752
2772,2749,2774,2660,2773,2753,2748,2642,2736
2708,2721,2739,2665,2700,2725,2688,2623,2662
2741,2767,2762,2739,2786,2746,2716,2702,2676
2788,2805,2801,2808,2829,2773,2792,2758,2723
2801,2860,2836,2812,2861,2762,2857,2744,2761
2874,2919,2856,2859,2834,2786,2875,2843,2861
2830,2892,2784,2777,2780,2780,2820,2836,2796
2695,2891,2812,2753,2810,2812,2835,2839,2827
2667,2849,2848,2810,2826,2843,2836,2833,2869
2712,2829,2830,2824,2822,2814,2831,2775,2835
2828,2801,2832,2832,2848,2810,2829,2848,2881
2979,2934,2930,2954,2948,2885,2924,2932,2983
3010,3005,2983,3016,3005,2955,2974,2972,3027
2979,3001,2990,2997,2996,2944,2973,2929,2970
2918,2957,2975,2979,2988,2931,2976,2959,2981
2851,2886,2930,2927,2965,2921,2945,2966,2967
2757,2743,2838,2841,2884,2840,2875,2889,2882
2589,2684,2730,2720,2761,2710,2755,2767,2658
2427,2576,2611,2616,2579,2558,2625,2602,2517
2433,2521,2585,2600,2531,2556,2572,2471,2527
2523,2597,2680,2629,2605,2643,2594,2555,2641
2674,2631,2685,2663,2633,2668,2670,2656,2720
2680,2641,2714,2739,2627,2611,2718,2664,2734
2780,2778,2840,2822,2747,2750,2803,2739,2759
2800,2831,2893,2876,2782,2795,2843,2798,2790
2790,2885,2900,2909,2840,2882,2862,2817,2845
2821,2859,2865,2884,2846,2856,2834,2816,2846
2671,2772,2733,2790,2780,2699,2706,2706,2734
2736,2794,2800,2800,2772,2782,2790,2767,2755
2802,2812,2818,2841,2797,2832,2838,2806,2774
2790,2801,2815,2857,2802,2826,2802,2844,2780
2753,2816,2786,2827,2809,2814,2841,2879,2839
2718,2825,2817,2802,2811,2790,2886,2884,2856
2790,2815,2816,2766,2790,2770,2852,2868,2796
2680,2810,2783,2734,2780,2733,2722,2786,2771
2716,2803,2776,2741,2742,2730,2717,2619,2730
2656,2725,2714,2664,2684,2701,2717,2647,2653
2584,2622,2632,2589,2624,2652,2660,2608,2557
2503,2477,2512,2392,2529,2575,2577,2471,2484
2489,2421,2446,2496,2536,2492,2511,2546,2491
2319,2476,2421,2523,2513,2494,2441,2529,2475
2344,2454,2379,2437,2441,2365,2314,2461,2344
2203,2393,2398,2379,2309,2301,2326,2407,2276
2276,2266,2189,2362,2326,2248,2424,2307,2272
2396,2214,2372,2368,2401,2356,2442,2310,2354
2480,2314,2386,2380,2497,2438,2512,2396,2428
2511,2473,2359,2393,2581,2434,2564,2437,2502
2485,2492,2408,2388,2596,2408,2526,2500,2467
2352,2420,2295,2370,2564,2300,2488,2491,2439
2370,2276,2402,2403,2518,2377,2475,2462,2458
2418,2405,2480,2451,2487,2428,2488,2436,2437
2576,2551,2593,2519,2580,2623,2614,2573,2566
2667,2669,2720,2687,2707,2727,2702,2682,2671
2766,2724,2767,2754,2798,2791,2672,2735,2752
2791,2701,2775,2694,2796,2788,2734,2761,2766
2800,2665,2778,2686,2782,2737,2690,2720,2743
2860,2744,2822,2782,2832,2785,2792,2800,2812
2898,2798,2866,2824,2879,2845,2860,2865,2884
2885,2803,2863,2818,2881,2829,2856,2881,2897
2827,2713,2764,2761,2788,2729,2791,2833,2831
2708,2657,2694,2690,2717,2546,2696,2710,2733
2582,2607,2631,2598,2684,2558,2624,2552,2701
2500,2493,2558,2587,2616,2517,2528,2462,2694
2445,2466,2460,2480,2618,2473,2544,2438,2607
2493,2446,2441,2452,2547,2427,2514,2490,2493
2505,2434,2384,2345,2356,2218,2519,2436,2358
2461,2408,2359,2365,2278,2258,2537,2351,2316
2400,2326,2319,2292,2286,2351,2480,2306,2240
2289,2260,2330,2315,2193,2315,2231,2348,2306
2282,2225,2346,2157,2332,2363,2328,2301,2338
2289,2352,2345,2316,2394,2412,2381,2280,2406
2378,2404,2400,2330,2396,2425,2400,2307,2438
2294,2404,2432,2279,2321,2409,2450,2385,2472
2417,2387,2410,2306,2143,2323,2367,2446,2442
2234,2395,2358,2287,2089,2191,2300,2439,2372
2348,2412,2335,2329,2160,2230,2181,2442,2306
2412,2411,2346,2437,2366,2471,2176,2430,2244
2439,2362,2343,2539,2470,2566,2323,2503,2314
2456,2238,2355,2501,2533,2613,2375,2522,2377
2478,2260,2457,2513,2566,2591,2379,2506,2352
2472,2420,2557,2480,2556,2512,2337,2416,2379
2490,2498,2595,2499,2553,2449,2368,2334,2294
2498,2509,2606,2514,2415,2400,2406,2361,2428
2424,2501,2528,2461,2262,2385,2243,2513,2460
2431,2397,2390,2491,2412,2493,2274,2579,2383
2525,2410,2495,2487,2506,2513,2220,2633,2312
2525,2423,2661,2504,2497,2420,2197,2669,2334
2462,2550,2690,2539,2407,2360,2224,2659,2415
2347,2519,2647,2492,2361,2335,2173,2570,2322
2316,2384,2528,2373,2252,2268,2284,2428,2323
2359,2442,2461,2444,2165,2275,2417,2273,2373
2454,2509,2436,2510,2356,2383,2467,2484,2451
2457,2538,2366,2478,2361,2277,2467,2452,2436
2495,2566,2508,2303,2394,2322,2411,2285,2383
2469,2534,2637,2174,2377,2393,2404,2207,2297
2483,2468,2659,2348,2405,2516,2291,2302,2233
2485,2418,2625,2491,2327,2519,2285,2517,2298
2520,2433,2514,2444,2148,2532,2413,2617,2412
2565,2407,2365,2399,2265,2491,2453,2626,2438
2531,2362,2345,2441,2429,2483,2422,2504,2462
2525,2327,2361,2337,2580,2459,2451,2333,2483
2499,2446,2431,2381,2598,2482,2462,2384,2498
2653,2474,2446,2377,2508,2519,2533,2467,2516
2658,2629,2523,2346,2549,2513,2599,2473,2520
2594,2742,2536,2314,2458,2457,2646,2411,2488
2543,2812,2430,2162,2581,2407,2544,2227,2309
2597,2787,2300,2177,2560,2472,2431,2260,2431
2650,2698,2414,2459,2446,2622,2409,2405,2531
2745,2565,2554,2600,2508,2655,2598,2604,2428
2769,2499,2595,2670,2556,2644,2710,2650,2499
2727,2607,2617,2546,2625,2610,2758,2699,2609
2825,2625,2768,2668,2656,2642,2760,2730,2652
2927,2589,2815,2738,2720,2741,2675,2689,2677
2975,2594,2787,2779,2753,2710,2620,2686,2692
2954,2659,2645,2801,2754,2799,2591,2718,2657
2833,2740,2575,2787,2703,2812,2650,2699,2685
2795,2785,2634,2757,2578,2756,2718,2565,2606
2858,2707,2689,2733,2450,2561,2735,2524,2705
2956,2799,2688,2691,2590,2582,2710,2699,2733
2970,2807,2529,2589,2689,2748,2648,2803,2636
2890,2794,2646,2792,2704,2899,2618,2865,2669
2760,2749,2919,2941,2659,2974,2681,2862,2700
2741,2626,3044,2987,2590,2958,2739,2799,2827
2786,2683,3078,2959,2595,2870,2813,2746,2806
2780,2739,3049,2874,2541,2733,2834,2762,2662
2755,2696,2975,2811,2557,2710,2910,2914,2506
2734,2492,2888,2801,2577,2695,3024,3016,2472
2821,2528,2940,2781,2622,2714,3048,3038,2493
2936,2499,2979,2753,2589,2798,2957,2977,2484
2956,2586,2939,2767,2442,2801,2839,2830,2523
2890,2803,2795,2814,2505,2730,2746,2661,2578
2754,2870,2663,2852,2519,2692,2707,2659,2552
2599,2873,2525,2915,2543,2677,2715,2723,2565
2744,2837,2642,2955,2557,2731,2699,2731,2575
2791,2835,2704,2956,2641,2773,2728,2728,2634
2758,2714,2755,2900,2663,2819,2749,2686,2567
2758,2706,2729,2752,2646,2767,2783,2641,2463
2737,2697,2746,2747,2630,2669,2825,2620,2310
2687,2662,2838,2807,2548,2481,2849,2736,2400
2615,2566,2878,2795,2562,2435,2880,2747,2502
2658,2478,2875,2820,2660,2436,2851,2707,2621
2719,2486,2829,2785,2708,2596,2767,2740,2618
2695,2594,2767,2665,2748,2696,2715,2750,2487
2675,2650,2610,2612,2749,2769,2749,2712,2425
2621,2755,2564,2494,2665,2801,2757,2741,2383
2637,2804,2651,2442,2710,2729,2670,2687,2557
2557,2743,2706,2530,2760,2664,2568,2613,2630
2632,2623,2712,2567,2725,2573,2564,2487,2682
2620,2529,2682,2526,2672,2514,2648,2372,2651
2596,2532,2660,2575,2588,2364,2652,2233,2572
2586,2596,2596,2550,2460,2428,2610,2367,2543
2592,2633,2532,2587,2185,2497,2520,2519,2565
2560,2636,2405,2631,2104,2468,2431,2554,2505
2452,2572,2424,2581,2056,2343,2422,2507,2425
2311,2371,2290,2423,1957,2289,2514,2427,2339
2405,2214,2179,2321,2174,2329,2518,2298,2264
2408,2244,2145,2231,2189,2308,2423,2141,2309
2365,2276,2164,2208,2075,2257,2251,1994,2300
2265,2212,2090,2084,2036,2154,2035,1947,2255
2140,2136,1855,1938,1925,2085,1876,1853,2235
1957,2036,1763,1815,1824,2005,1704,1851,2170
1868,1901,1888,1869,1880,1951,1770,1812,2024
2116,1915,2035,1936,2045,2031,1964,1970,2053
2309,2290,2280,2290,2286,2296,2288,2307,2313
2554,2543,2521,2508,2503,2516,2542,2540,2538
2731,2732,2720,2714,2712,2725,2727,2726,2728
2801,2809,2786,2793,2788,2800,2797,2791,2784
2882,2892,2886,2876,2895,2897,2906,2906,2895
3277,3292,3296,3286,3297,3305,3302,3292,3287
