data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3545,3554,3553,3553,3555,3555,3550,3555,3553
3742,3745,3745,3747,3747,3749,3744,3747,3746
3826,3826,3825,3827,3829,3828,3827,3828,3828
3751,3752,3752,3753,3752,3754,3751,3753,3751
3563,3563,3563,3562,3561,3562,3561,3564,3563
3406,3402,3407,3402,3404,3405,3401,3406,3407
3452,3455,3454,3454,3457,3454,3453,3453,3454
3299,3298,3298,3299,3298,3297,3298,3297,3300
2956,2963,2964,2961,2958,2958,2957,2958,2951
2830,2817,2831,2829,2828,2830,2838,2829,2825
2623,2587,2627,2628,2622,2626,2632,2616,2609
2401,2356,2408,2386,2340,2392,2432,2336,2396
2299,2286,2290,2271,2233,2267,2314,2206,2227
2321,2349,2315,2299,2331,2332,2301,2314,2349
2339,2371,2374,2362,2364,2342,2394,2378,2343
2250,2271,2300,2329,2300,2311,2329,2321,2294
2087,2058,2187,2070,2155,2095,2174,2084,2110
2001,2022,2109,2015,2006,1995,2037,1991,1962
1879,1875,2028,1869,1862,1909,2009,1862,1752
1704,1731,1894,1821,1723,1892,1708,1856,1732
1788,1807,1818,1718,1971,1916,1854,1801,1855
1593,1728,1886,1692,1882,1774,1791,1662,1931
1635,1794,1847,1805,1750,1764,1863,1710,1817
1692,1652,1762,1626,1745,1657,1720,1734,1714
1750,1441,1773,1771,1719,1734,1605,1692,1655
1710,1662,1916,1867,1752,1798,1720,1818,1607
1628,1725,1927,1737,1798,1876,1649,1677,1753
1743,1828,1877,1834,1754,1829,1854,1657,1835
1712,1866,1845,1851,1727,1743,1779,1735,1808
1776,1894,1790,1852,1670,1722,1804,1774,1740
1924,1816,1647,1688,1678,1694,1814,1939,1785
1977,1974,1640,1841,1694,1767,1786,2006,1774
2023,1978,1766,1782,1644,1812,1852,1905,1813
1969,2008,1900,1832,1644,1919,1932,1838,1829
1911,1910,1901,1874,1742,1960,1928,1857,1693
1883,1844,1807,1873,1710,1997,1937,1839,1700
1859,1866,1780,1811,1827,2020,1991,1924,1591
1821,1938,1733,1744,1861,2036,1879,1862,1800
1780,1852,1844,1762,1850,1893,1828,1852,1769
1644,1871,1830,1866,1747,2011,1758,1585,1847
1840,1711,1798,1782,1780,1886,1793,1746,1855
1722,1725,1782,1873,1793,1811,1800,1850,1844
1728,1848,1707,1818,1780,1877,1854,1904,1786
1653,1893,1773,1725,1795,1816,1785,1861,1779
1778,1960,1666,1640,1663,1747,1864,1863,1745
1757,1943,1798,1643,1736,1792,1898,1740,1741
1822,1966,1812,1733,1703,1807,1890,1757,1854
1748,1857,1710,1659,1776,1771,1730,1684,1836
1669,1828,1838,1839,1759,1860,1612,1877,1848
1678,1569,1901,1792,1766,1826,1636,1971,1857
1752,1754,1949,1842,1798,1812,1714,1961,1846
1760,1748,1792,1764,1759,1735,1730,1919,1818
1764,1750,1827,1790,1470,1728,1771,1872,1757
1742,1737,1688,1869,1724,1462,1882,1791,1599
1892,1769,1644,1793,1732,1583,1669,1836,1729
1858,1777,1731,1669,1904,1809,1738,1836,1797
1899,1825,1707,1595,1838,1791,1739,1845,1782
1752,1797,1786,1658,1818,1631,1805,1782,1780
1829,1872,1830,1806,1789,1837,1851,1744,1846
1896,1716,1807,1815,1682,1885,1875,1738,1801
1859,1825,1791,1801,1734,1909,1933,1764,1763
1929,1879,1829,1798,1845,1842,1879,1837,1715
1972,1912,1893,1908,1932,1767,1975,1646,1744
2002,1952,2019,1924,1927,1933,1855,1664,1925
1927,2032,2018,2044,2115,2005,1893,1929,2011
2082,2098,2137,2147,2173,2126,2111,2096,2040
2205,2189,2216,2242,2163,2160,2223,2195,2215
2233,2237,2229,2261,2138,2244,2209,2202,2244
2232,2239,2200,2218,2154,2259,2229,2245,2178
2308,2163,2206,2157,2151,2243,2222,2233,2240
2315,2246,2135,2209,2171,2260,2279,2213,2228
2258,2326,2127,2270,1945,2278,2244,2199,2213
2209,2245,2206,2211,2096,2148,2148,2173,2208
2138,2183,2111,2128,2151,2126,2169,2137,2148
2017,2179,2116,2066,2142,2178,2121,2152,2105
2006,2185,2111,1969,2176,2153,2118,2153,2040
2148,2237,2219,2137,2192,2221,2165,2148,1944
2221,2283,2177,2203,2225,2349,2205,2241,2134
2293,2308,2324,2207,2228,2424,2204,2303,2187
2341,2356,2353,2390,2324,2418,2323,2395,2293
2358,2366,2463,2478,2393,2407,2382,2444,2454
2419,2421,2502,2536,2473,2374,2469,2505,2544
2428,2454,2436,2468,2503,2310,2525,2589,2511
2467,2456,2404,2444,2542,2371,2540,2574,2430
2487,2436,2499,2406,2478,2443,2567,2558,2544
2501,2507,2639,2595,2537,2387,2692,2593,2651
2562,2578,2706,2676,2521,2511,2755,2635,2722
2626,2592,2767,2669,2668,2536,2723,2645,2704
