data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3483,3500,3493,3496,3493,3495,3490,3486,3491
3773,3780,3775,3779,3777,3777,3778,3774,3778
3890,3894,3891,3894,3893,3893,3892,3892,3891
3843,3845,3843,3845,3842,3844,3843,3842,3842
3649,3651,3650,3651,3653,3652,3650,3652,3651
3491,3492,3491,3492,3492,3486,3490,3488,3488
3541,3538,3537,3539,3539,3539,3541,3539,3539
3408,3408,3409,3407,3408,3407,3409,3408,3408
3055,3047,3050,3047,3050,3050,3050,3048,3053
2857,2858,2860,2864,2861,2853,2864,2860,2857
2651,2649,2667,2648,2647,2647,2677,2654,2658
2318,2332,2370,2332,2351,2334,2367,2343,2329
2283,2334,2322,2278,2311,2294,2312,2306,2289
2137,2081,2050,2086,2118,2122,1994,2040,2069
1985,1997,1926,1883,1820,1865,1863,1870,2005
1979,1917,1927,1941,1975,1864,1846,1853,1942
1894,1725,1703,1747,1823,1784,1733,1734,1742
1958,1595,1731,1594,1802,1752,1714,1693,1675
1785,1664,1777,1574,1815,1785,1781,1813,1685
1602,1665,1645,1618,1749,1677,1772,1822,1629
1712,1765,1794,1813,1797,1830,1643,1853,1731
1748,1752,1770,1868,1851,1832,1718,1821,1889
1858,1838,1931,1928,1999,1895,2002,1906,1986
2057,1960,1990,1956,1972,1994,1998,1977,2007
1994,2032,2063,1988,1981,1955,1928,2022,1943
1910,1908,2021,1902,1990,1738,1870,1900,1890
1782,1870,1925,1812,1844,1837,1911,1899,1753
1875,1943,1923,1940,1651,1712,1895,1716,1784
1818,1918,1817,1878,1866,1830,1839,1576,1817
1600,1901,1867,1801,1917,1927,1908,1680,1699
1804,1941,1929,1959,1804,1970,1873,1735,1616
1896,1882,1959,1875,1870,1952,1918,1495,1746
1772,1654,1844,1792,1733,1944,1742,1817,1685
1763,1641,1812,1644,1814,1818,1777,1860,1842
1732,1604,1802,1671,1734,1864,1756,1736,1779
1667,1859,1701,1821,1789,1653,1767,1672,1743
1618,1742,1744,1711,1715,1860,1768,1687,1650
1832,1868,1766,1760,1873,1813,1929,1737,1601
1842,1952,1862,1850,1967,1597,1941,1846,1761
1885,1845,1858,1861,1785,1739,1953,1844,1734
1952,1823,1909,1931,1913,1655,1918,1767,1856
1907,1831,1992,1869,1923,1786,1923,1819,1919
2016,1876,1977,1863,1813,1818,1975,1934,1777
2019,1962,2005,1863,1842,1756,1942,1937,1769
1863,1872,1847,1877,1831,1780,1896,1816,1847
1907,1775,1949,1903,1902,1752,1815,1696,1815
1780,1899,1930,1768,1856,1831,1779,1750,1913
1809,1867,1910,1871,1893,1846,1857,1836,1908
1819,1896,1874,1815,1911,1825,1944,1828,1969
1987,2023,1947,1928,1891,1969,1921,1926,1964
2038,2105,1964,2071,1982,1999,1965,2045,2032
2234,2206,2085,2153,2200,2192,2164,2193,2152
2306,2295,2308,2266,2277,2294,2336,2325,2316
2316,2268,2342,2187,2272,2311,2324,2287,2305
2341,2288,2324,2321,2203,2204,2154,2173,2228
2524,2546,2473,2504,2422,2435,2455,2461,2492
2688,2687,2629,2634,2645,2620,2603,2608,2650
2691,2677,2651,2671,2660,2633,2634,2621,2657
2555,2528,2500,2551,2543,2484,2513,2499,2522
2309,2327,2310,2364,2291,2294,2336,2290,2288
2278,2369,2333,2361,2295,2319,2338,2308,2361
2276,2354,2337,2392,2395,2348,2357,2383,2424
2398,2392,2413,2369,2395,2340,2308,2393,2381
2374,2379,2427,2282,2360,2200,2223,2312,2292
2215,2302,2407,2330,2336,2170,2292,2314,2376
2195,2151,2319,2408,2309,2258,2284,2348,2296
2383,2373,2392,2421,2362,2436,2471,2445,2424
2434,2456,2478,2381,2528,2509,2549,2475,2492
2507,2608,2524,2504,2601,2450,2708,2453,2485
2611,2766,2769,2629,2730,2663,2850,2643,2627
2756,2866,2878,2753,2838,2835,2932,2799,2786
2833,2854,2895,2856,2838,2864,2924,2839,2794
2898,2909,2946,2929,2951,2920,2947,2931,2895
2911,2887,2938,2939,2972,2942,2957,2971,2915
2875,2828,2915,2921,2967,2942,2940,2958,2920
2837,2875,2930,2926,2961,2998,2963,2944,2927
2873,2877,2940,2919,2919,2995,2944,2921,2893
2850,2767,2875,2840,2857,2942,2899,2864,2851
2782,2740,2780,2752,2853,2830,2833,2747,2795
2873,2865,2735,2774,2979,2817,2834,2766,2708
2970,2928,2888,2881,3054,2951,2914,2919,2850
2969,2908,2874,2792,3039,2950,2909,2910,2867
2879,2721,2838,2839,2936,2892,2841,2812,2843
2913,2828,2912,2958,2899,2915,2829,2797,2840
2995,2943,2960,2910,2906,2945,2889,2841,2894
3055,2986,2962,2967,2948,2943,2955,2870,2964
3039,2989,2971,2928,2931,2927,2993,2919,2998
2937,2945,2932,2820,2864,2885,2940,2849,2929
2742,2775,2760,2519,2707,2698,2780,2628,2752
2503,2586,2605,2484,2628,2662,2552,2575,2578
2673,2741,2672,2610,2685,2748,2676,2650,2724
2677,2767,2735,2708,2698,2775,2686,2633,2719
2683,2737,2756,2762,2742,2778,2716,2712,2733
2746,2697,2723,2741,2760,2761,2712,2642,2716
2740,2671,2703,2734,2729,2759,2715,2748,2707
2747,2696,2704,2702,2679,2716,2729,2790,2630
2752,2698,2779,2666,2690,2704,2801,2836,2785
2675,2634,2759,2586,2678,2671,2771,2812,2791
2600,2479,2710,2439,2623,2583,2663,2728,2692
2552,2568,2592,2448,2648,2495,2557,2601,2630
2663,2635,2615,2615,2713,2581,2666,2534,2585
2713,2643,2521,2632,2714,2582,2662,2602,2592
2587,2574,2579,2659,2674,2603,2587,2607,2685
2655,2593,2647,2675,2612,2629,2658,2542,2695
2669,2647,2659,2653,2633,2644,2645,2528,2664
2645,2626,2650,2611,2584,2663,2605,2585,2627
2585,2513,2596,2594,2567,2643,2555,2616,2594
2510,2551,2549,2564,2574,2627,2435,2585,2589
2443,2541,2560,2512,2565,2639,2494,2585,2573
2443,2522,2545,2543,2515,2628,2449,2533,2517
2422,2510,2566,2555,2445,2572,2382,2573,2489
2433,2494,2538,2507,2414,2536,2432,2591,2469
2426,2534,2538,2494,2469,2470,2423,2576,2422
2536,2536,2568,2507,2498,2534,2436,2593,2508
2546,2495,2573,2490,2477,2532,2385,2602,2522
2536,2504,2512,2432,2419,2470,2371,2582,2448
2426,2429,2446,2411,2399,2430,2389,2477,2337
2132,2212,2322,2378,2395,2385,2357,2301,2352
2271,2279,2397,2379,2415,2335,2365,2254,2379
2286,2347,2403,2420,2406,2355,2401,2303,2437
2371,2423,2392,2361,2459,2407,2474,2397,2405
2338,2544,2477,2485,2467,2478,2536,2461,2461
2428,2562,2535,2541,2483,2458,2578,2467,2517
2458,2508,2550,2522,2385,2445,2578,2518,2402
2497,2529,2540,2511,2442,2453,2567,2491,2473
2509,2526,2549,2517,2472,2433,2568,2445,2432
2498,2468,2564,2476,2503,2379,2586,2465,2369
2403,2393,2490,2391,2512,2427,2546,2433,2331
2410,2531,2461,2398,2522,2508,2587,2516,2461
2418,2513,2492,2466,2485,2574,2590,2540,2568
2379,2469,2487,2379,2516,2551,2507,2509,2524
2523,2470,2477,2446,2573,2592,2595,2594,2590
2599,2526,2514,2557,2614,2615,2610,2606,2575
2562,2483,2416,2538,2605,2535,2542,2514,2450
2497,2534,2491,2506,2451,2446,2482,2477,2449
2600,2624,2605,2621,2601,2575,2600,2611,2617
2681,2699,2687,2678,2697,2681,2704,2705,2731
2708,2730,2735,2703,2749,2706,2740,2757,2779
2651,2717,2735,2641,2771,2691,2700,2741,2779
2556,2634,2669,2501,2727,2617,2603,2678,2729
2555,2559,2577,2514,2652,2496,2560,2670,2627
2522,2477,2442,2583,2447,2520,2504,2546,2586
2649,2527,2436,2686,2545,2531,2578,2488,2660
2731,2669,2455,2709,2503,2624,2619,2707,2678
2660,2684,2521,2752,2653,2713,2592,2711,2617
2661,2656,2509,2722,2699,2741,2678,2785,2682
2704,2642,2662,2678,2747,2756,2717,2807,2619
2714,2718,2676,2673,2754,2776,2744,2788,2665
2679,2727,2691,2658,2680,2721,2701,2703,2634
2707,2702,2736,2650,2674,2747,2738,2597,2688
2718,2748,2783,2694,2730,2761,2791,2727,2729
2673,2731,2791,2719,2742,2803,2774,2746,2693
2705,2711,2791,2761,2779,2745,2784,2691,2733
2747,2729,2791,2735,2784,2798,2796,2802,2786
2724,2795,2758,2754,2765,2779,2702,2796,2810
2648,2817,2794,2792,2804,2858,2711,2847,2853
2762,2815,2780,2824,2817,2835,2668,2774,2812
2699,2733,2704,2759,2768,2715,2590,2658,2656
2642,2620,2585,2698,2716,2603,2666,2569,2629
2662,2647,2476,2568,2653,2602,2738,2694,2620
2705,2704,2682,2626,2748,2575,2776,2743,2670
2622,2711,2662,2612,2709,2590,2719,2724,2690
2619,2598,2568,2625,2596,2519,2621,2629,2648
2640,2627,2523,2674,2655,2596,2705,2719,2606
2659,2701,2641,2707,2702,2643,2734,2767,2577
2701,2721,2728,2743,2722,2660,2733,2780,2609
2660,2672,2732,2758,2737,2599,2658,2774,2655
2640,2658,2663,2762,2697,2512,2699,2750,2664
2685,2680,2677,2758,2645,2493,2739,2746,2663
2704,2712,2723,2734,2613,2627,2720,2729,2699
2731,2719,2782,2705,2593,2692,2688,2637,2707
2729,2763,2833,2742,2611,2756,2687,2704,2718
2717,2808,2880,2777,2720,2848,2788,2775,2751
2808,2807,2891,2809,2785,2899,2833,2812,2780
2795,2700,2849,2824,2847,2923,2817,2837,2805
2735,2745,2810,2803,2827,2894,2880,2838,2796
2671,2802,2779,2726,2785,2835,2887,2790,2772
2614,2825,2760,2766,2798,2811,2803,2808,2689
2663,2809,2724,2820,2804,2683,2805,2881,2792
2745,2840,2820,2843,2820,2695,2846,2907,2853
2830,2622,2824,2872,2806,2709,2891,2936,2906
2786,2800,2799,2826,2808,2667,2873,2928,2878
2707,2754,2661,2720,2757,2597,2714,2787,2756
2773,2658,2657,2736,2765,2769,2717,2704,2647
2777,2739,2693,2792,2898,2844,2823,2742,2682
2819,2705,2781,2873,2903,2886,2892,2765,2858
2814,2820,2809,2842,2806,2903,2881,2843,2979
2860,2912,2891,2880,2827,2898,2928,2786,3002
2856,2897,2859,2835,2771,2874,2890,2619,2943
2715,2717,2717,2796,2646,2758,2786,2593,2771
2676,2787,2618,2723,2681,2658,2785,2665,2656
2605,2684,2575,2666,2608,2611,2710,2740,2652
2611,2711,2637,2609,2596,2710,2726,2775,2817
2683,2711,2685,2631,2637,2713,2777,2790,2848
2770,2719,2809,2738,2742,2813,2839,2791,2755
2808,2742,2885,2828,2849,2872,2907,2885,2719
2801,2758,2901,2847,2902,2875,2905,2888,2807
2816,2788,2878,2864,2932,2837,2849,2822,2805
2821,2789,2810,2865,2950,2737,2865,2791,2773
2858,2781,2804,2858,2961,2840,2806,2798,2774
2899,2806,2845,2843,2929,2888,2707,2796,2777
2901,2794,2883,2834,2903,2904,2811,2830,2793
2908,2765,2888,2828,2884,2913,2851,2813,2749
2905,2864,2920,2819,2880,2903,2748,2740,2726
2890,2909,2927,2769,2878,2807,2667,2642,2677
2859,2861,2874,2628,2830,2754,2562,2570,2692
2777,2748,2737,2614,2689,2691,2620,2606,2562
2604,2707,2684,2599,2637,2594,2642,2607,2429
2639,2667,2789,2675,2704,2741,2856,2721,2643
2705,2754,2892,2699,2736,2804,2925,2745,2710
2718,2860,2865,2775,2731,2850,2914,2674,2816
2758,2912,2752,2821,2783,2866,2878,2689,2886
2696,2881,2721,2809,2675,2784,2800,2495,2838
2658,2761,2711,2617,2671,2739,2747,2610,2662
2762,2815,2800,2809,2646,2894,2795,2895,2827
2965,2964,2960,2963,2940,3042,2931,3019,2967
3050,3024,3003,3025,3020,3093,3018,3046,2967
3014,3016,2960,2985,2982,3066,3009,3016,2952
2917,2938,2826,2839,2838,2949,2891,2901,2835
2811,2826,2720,2805,2645,2801,2658,2821,2774
2866,2879,2738,2844,2677,2827,2713,2872,2720
2888,2876,2708,2843,2712,2816,2814,2909,2733
2908,2843,2716,2855,2781,2808,2856,2905,2707
2917,2809,2748,2873,2808,2796,2840,2923,2738
2888,2801,2766,2884,2790,2798,2765,2946,2733
2817,2800,2844,2894,2796,2804,2684,2885,2696
2743,2773,2835,2888,2704,2768,2637,2717,2655
2775,2774,2834,2847,2806,2734,2633,2765,2783
2808,2803,2754,2813,2832,2752,2667,2813,2837
2787,2808,2750,2795,2833,2784,2692,2863,2732
2837,2856,2758,2720,2786,2836,2761,2848,2768
2748,2826,2801,2641,2736,2833,2754,2825,2745
2672,2681,2788,2633,2782,2785,2772,2838,2714
2792,2784,2755,2701,2805,2824,2736,2766,2788
2767,2819,2823,2723,2808,2850,2774,2816,2801
2758,2788,2814,2738,2769,2835,2734,2800,2803
2748,2695,2730,2737,2726,2759,2749,2730,2759
2702,2609,2584,2665,2669,2597,2687,2716,2683
2636,2545,2520,2656,2638,2667,2657,2688,2601
2615,2532,2571,2634,2601,2615,2673,2644,2546
2608,2570,2609,2531,2621,2513,2711,2618,2582
2551,2529,2590,2531,2581,2558,2669,2538,2570
2444,2439,2521,2440,2425,2479,2554,2457,2534
2285,2347,2397,2220,2337,2310,2364,2297,2446
2143,2291,2231,2303,2190,2263,2265,2118,2385
2091,2179,2049,2260,2156,2116,2117,2099,2272
2101,2059,2062,2171,2062,2127,2114,2024,2161
1927,1978,2038,1993,2013,2002,2033,2067,1995
1958,1786,2059,1924,1840,1952,2031,2008,1871
2056,1938,1978,2007,2096,1931,2043,2017,1977
2269,2286,2246,2258,2332,2266,2312,2285,2303
2539,2532,2515,2536,2539,2532,2543,2529,2552
2721,2706,2704,2713,2720,2727,2731,2724,2717
2788,2765,2785,2774,2770,2772,2760,2783,2783
2937,2918,2948,2950,2929,2936,2943,2954,2936
3211,3206,3227,3226,3201,3207,3209,3234,3219
