data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3626,3622,3619,3621,3605,3614,3610,3609,3607
3839,3837,3838,3838,3829,3833,3832,3831,3830
3926,3924,3922,3924,3921,3924,3922,3921,3921
3865,3868,3865,3867,3864,3866,3865,3865,3862
3670,3671,3670,3671,3670,3671,3669,3671,3670
3499,3495,3493,3495,3493,3497,3501,3493,3493
3559,3560,3561,3561,3559,3557,3561,3560,3560
3427,3426,3425,3428,3428,3427,3428,3426,3426
3078,3078,3080,3080,3082,3072,3080,3076,3080
2817,2836,2831,2819,2826,2839,2840,2838,2840
2678,2679,2668,2671,2688,2682,2702,2677,2696
2543,2597,2571,2550,2581,2611,2610,2607,2608
2547,2549,2544,2538,2528,2533,2548,2539,2543
2327,2400,2405,2397,2388,2442,2440,2438,2445
2216,2181,2204,2220,2230,2252,2252,2216,2236
2374,2384,2369,2392,2376,2396,2350,2390,2365
2401,2428,2421,2441,2432,2448,2427,2434,2446
2335,2374,2356,2355,2355,2387,2363,2366,2377
2124,2212,2216,2148,2148,2183,2127,2218,2233
1888,1976,2026,1947,1870,1964,1878,1974,1990
1988,1916,1936,1897,1863,1876,1901,1953,1917
1811,1963,1829,1642,1740,1808,1742,1835,1929
1725,1871,1631,1795,1650,1806,1676,1712,1889
1775,1757,1558,1805,1752,1874,1713,1684,1819
1777,1860,1812,1822,1729,1778,1857,1643,1633
1738,1814,1908,1743,1642,1713,1906,1827,1709
1870,1637,1784,1626,1661,1708,1762,1801,1634
1832,1764,1785,1768,1553,1643,1897,1788,1682
1816,1863,1822,1755,1839,1814,1896,1808,1691
1787,1715,1831,1666,1821,1660,1808,1757,1630
1779,1731,1758,1883,1851,1766,1833,1753,1651
1700,1787,1731,1844,1846,1651,1774,1765,1814
1580,1736,1847,1924,1807,1677,1798,1631,1764
1844,1757,1853,1951,1642,1838,1819,1765,1869
1841,1876,1857,1849,1794,1908,1702,1858,1919
1831,1945,1882,1767,1847,1945,1811,1839,1939
1634,1972,1940,1852,1791,1757,1788,1784,1798
1864,1905,1825,1736,1784,1667,1768,1826,1789
1786,1844,1831,1607,1763,1853,1810,1802,1707
1836,1671,1864,1622,1812,1923,1705,1944,1740
1727,1648,1851,1739,1774,1854,1896,1893,1877
1722,1696,1829,1707,1904,1731,1854,1870,1811
1689,1755,1891,1871,1867,1728,1618,1785,1784
1758,1893,1871,1911,1835,1710,1740,1776,1837
1735,1788,1861,1964,1761,1815,1740,1857,1758
1936,1710,1760,1906,1842,1817,1786,1910,1843
1964,1885,1942,1879,1889,1825,1834,1893,1900
1823,1752,1907,1880,1868,1784,1711,1916,1890
1912,1849,1918,1703,1820,1773,1939,1940,1842
1972,1851,1940,1838,1944,1738,1881,1827,1756
1919,1878,1916,1936,1947,1853,1980,1791,1811
1903,1837,1834,1931,1880,1850,1979,1907,1623
1823,1862,1853,1872,1752,1926,1947,1891,1718
1726,1802,1708,1803,1794,1897,1885,1790,1776
1886,1759,1761,1933,1827,1904,1994,1873,1829
1857,1697,1914,1938,1815,1973,2010,1856,1919
1796,1496,2007,1731,1852,1859,1730,1899,1810
1785,1771,1932,1831,1823,1972,1778,1965,1830
1872,1663,1889,1842,1854,1926,1619,2008,1943
1785,1785,1857,1895,1873,2042,1765,1958,1977
1763,1912,1914,1949,1812,2068,1916,1911,1851
1760,1878,1904,1986,1757,2112,1903,1951,1907
1838,2068,1956,2067,1925,2066,1912,2109,2012
1998,2172,2087,2091,2108,2149,2009,2187,2129
2211,2309,2129,2137,2145,2189,2106,2218,2159
2336,2326,2287,2200,2207,2234,2198,2308,2239
2372,2370,2265,2191,2245,2209,2233,2277,2238
2207,2289,2169,2130,2202,2107,2198,2080,2118
2288,2274,2152,2243,2068,2178,2165,2216,2168
2433,2377,2352,2363,2340,2331,2298,2292,2325
2553,2498,2539,2520,2497,2488,2499,2416,2360
2637,2614,2613,2604,2599,2635,2528,2589,2556
2674,2628,2663,2662,2677,2649,2669,2608,2634
2587,2635,2641,2632,2653,2618,2610,2615,2625
2550,2571,2543,2505,2572,2557,2508,2523,2528
2372,2371,2414,2312,2484,2476,2421,2422,2448
2354,2496,2462,2369,2432,2382,2453,2467,2370
2375,2560,2463,2439,2486,2433,2472,2488,2421
2362,2562,2470,2466,2483,2440,2472,2456,2429
2380,2529,2478,2464,2462,2470,2458,2394,2480
2469,2605,2590,2586,2546,2528,2580,2580,2573
2443,2638,2615,2614,2600,2604,2644,2616,2603
2520,2601,2600,2590,2584,2599,2646,2596,2597
2526,2609,2517,2510,2492,2566,2657,2570,2591
2594,2710,2514,2472,2537,2522,2661,2565,2648
2653,2805,2650,2570,2503,2635,2755,2726,2754
2649,2846,2708,2605,2576,2687,2790,2764,2775
2697,2821,2765,2727,2713,2768,2777,2774,2712
2749,2808,2838,2808,2821,2826,2849,2848,2808
2755,2741,2851,2845,2848,2834,2889,2899,2850
2745,2735,2798,2849,2819,2824,2888,2915,2846
2703,2659,2726,2822,2756,2802,2870,2904,2794
2769,2520,2745,2818,2713,2834,2884,2898,2842
2773,2483,2745,2772,2749,2800,2827,2823,2795
2762,2698,2793,2790,2774,2769,2823,2836,2768
2836,2889,2801,2847,2725,2833,2892,2906,2835
2875,2950,2887,2895,2833,2799,2925,2952,2722
2852,2936,2882,2861,2802,2786,2912,2924,2848
2835,2910,2856,2814,2786,2904,2888,2903,2842
2766,2908,2799,2772,2792,2815,2873,2910,2822
2775,2900,2766,2789,2850,2891,2833,2887,2848
2832,2884,2910,2854,2893,2932,2868,2890,2885
2897,2903,2983,2883,2923,2957,2892,2944,2900
2924,2874,2988,2857,2915,2944,2894,2940,2887
2900,2756,2937,2778,2891,2903,2840,2890,2842
2816,2695,2796,2688,2799,2810,2751,2808,2709
2695,2750,2631,2650,2582,2592,2625,2659,2570
2680,2707,2692,2700,2618,2640,2669,2695,2622
2634,2709,2722,2700,2664,2606,2676,2697,2615
2689,2674,2604,2641,2625,2701,2654,2671,2540
2769,2730,2751,2758,2761,2805,2680,2658,2676
2865,2781,2793,2800,2768,2857,2742,2606,2809
2873,2830,2812,2822,2845,2885,2859,2766,2887
2837,2803,2778,2810,2826,2830,2877,2718,2860
2737,2711,2719,2786,2775,2666,2792,2796,2788
2846,2713,2709,2806,2748,2903,2729,2870,2672
2940,2791,2821,3023,2789,3172,3126,3101,2714
2986,2738,2821,3418,3163,3423,3511,3394,2994
3036,3131,3037,3667,3408,3580,3735,3658,3266
3266,3400,3324,3828,3597,3645,3902,3814,3406
3463,3494,3500,3910,3767,3684,4014,3869,3480
3609,3320,3586,3921,3877,3731,4073,3791,3499
3703,3439,3600,3843,3913,3777,4077,3654,3444
3707,3544,3526,3669,3861,3721,3999,3515,3318
3630,3629,3288,3438,3718,3551,3845,3489,3251
3449,3652,3019,3230,3530,3244,3604,3395,3334
3220,3578,2979,3184,3397,2851,3355,3196,3374
3178,3428,2964,3176,3301,2851,3206,3170,3323
3196,3231,2768,3048,3137,2768,3053,3114,3194
3086,3001,2447,2776,2854,2596,2875,3020,2993
2899,2781,2493,2549,2618,2516,2736,2898,2725
2640,2597,2572,2566,2458,2383,2639,2742,2511
2523,2631,2590,2451,2274,2365,2625,2510,2453
2423,2580,2604,2425,2379,2497,2616,2548,2326
2379,2462,2588,2532,2423,2411,2566,2582,2423
2444,2459,2525,2490,2444,2441,2531,2571,2504
2339,2467,2454,2423,2466,2450,2438,2441,2576
2317,2406,2356,2472,2490,2422,2424,2450,2617
2481,2398,2368,2377,2330,2593,2505,2593,2632
2610,2609,2563,2654,2555,2678,2570,2702,2711
2731,2721,2642,2676,2694,2760,2622,2755,2757
2710,2677,2675,2645,2708,2752,2607,2720,2743
2631,2565,2788,2677,2679,2682,2656,2687,2680
2786,2831,2878,2831,2835,2754,2786,2829,2783
2906,2926,2949,2942,2944,2880,2884,2918,2872
2940,2948,2969,2963,2974,2919,2884,2937,2893
2891,2903,2940,2894,2911,2862,2872,2883,2821
2754,2747,2852,2770,2756,2736,2724,2761,2677
2631,2788,2712,2626,2652,2678,2572,2703,2612
2603,2767,2597,2582,2545,2553,2544,2625,2536
2553,2709,2528,2587,2501,2516,2467,2505,2489
2532,2627,2463,2563,2493,2439,2489,2445,2466
2440,2531,2526,2513,2504,2269,2490,2365,2459
2364,2442,2470,2391,2594,2321,2413,2273,2397
2263,2392,2369,2330,2629,2392,2248,2234,2265
2106,2297,2228,2384,2610,2516,2366,2185,2254
2170,2276,2271,2269,2530,2538,2427,2260,2303
2346,2457,2315,2444,2451,2485,2542,2372,2315
2425,2449,2419,2517,2437,2490,2644,2503,2499
2412,2531,2413,2542,2474,2463,2677,2564,2518
2379,2481,2364,2474,2535,2375,2710,2532,2494
2309,2512,2364,2377,2404,2271,2635,2538,2427
2263,2439,2456,2175,2386,2300,2474,2465,2313
2251,2410,2459,2193,2447,2410,2310,2268,2435
2449,2452,2450,2269,2422,2479,2253,2269,2499
2618,2462,2533,2331,2461,2542,2315,2363,2502
2720,2507,2614,2394,2610,2617,2380,2423,2552
2753,2550,2665,2499,2668,2578,2447,2489,2610
2718,2606,2670,2540,2648,2569,2465,2541,2637
2562,2595,2581,2469,2538,2396,2441,2509,2609
2359,2569,2360,2247,2243,2280,2402,2394,2569
2457,2682,2356,2347,2185,2296,2439,2545,2571
2498,2642,2424,2493,2442,2341,2418,2554,2452
2516,2504,2443,2593,2433,2266,2557,2507,2471
2534,2518,2463,2634,2498,2457,2567,2537,2531
2491,2501,2416,2576,2465,2500,2554,2464,2536
2436,2296,2370,2425,2353,2434,2515,2355,2471
2420,2260,2330,2216,2287,2444,2508,2390,2478
2412,2376,2371,2253,2323,2499,2506,2376,2483
2360,2410,2391,2304,2422,2528,2472,2293,2532
2323,2314,2449,2394,2420,2444,2454,2198,2595
2445,2365,2468,2557,2500,2356,2569,2347,2643
2413,2540,2478,2603,2531,2239,2622,2472,2668
2434,2558,2467,2584,2471,2234,2630,2543,2620
2478,2540,2455,2600,2488,2380,2569,2535,2563
2430,2535,2361,2547,2534,2432,2583,2482,2458
2380,2476,2479,2486,2544,2474,2603,2430,2289
2454,2542,2488,2483,2528,2466,2488,2359,2249
2491,2539,2403,2557,2501,2464,2430,2499,2437
2594,2578,2447,2543,2449,2538,2581,2593,2534
2688,2574,2569,2609,2457,2663,2618,2631,2492
2728,2539,2679,2715,2505,2837,2724,2645,2427
2752,2642,2724,2786,2502,2916,2721,2642,2612
2728,2771,2725,2758,2567,2939,2670,2718,2763
2707,2807,2666,2676,2632,2884,2631,2720,2856
2662,2798,2510,2785,2679,2812,2674,2628,2878
2498,2752,2474,2790,2705,2573,2681,2616,2837
2543,2712,2545,2763,2718,2682,2661,2612,2715
2676,2694,2692,2694,2781,2801,2605,2595,2683
2777,2699,2717,2726,2859,2879,2583,2743,2627
2790,2654,2669,2681,2869,2895,2595,2744,2702
2765,2527,2581,2669,2824,2854,2627,2887,2682
2788,2430,2546,2704,2781,2795,2575,2939,2603
2876,2615,2513,2780,2807,2781,2623,2884,2688
2916,2772,2528,2797,2836,2749,2671,2820,2731
2887,2794,2608,2783,2815,2714,2637,2762,2730
2824,2732,2705,2724,2716,2666,2550,2772,2727
2719,2627,2775,2698,2805,2679,2740,2779,2864
2539,2473,2786,2692,2899,2790,2886,2781,2946
2527,2650,2742,2722,2884,2824,2866,2835,2991
2484,2780,2735,2782,2811,2836,2755,2937,3006
2486,2870,2786,2654,2778,2883,2707,2964,3020
2531,3028,2748,2660,2731,2837,2734,2920,2979
2590,3077,2700,2778,2680,2787,2678,2816,2885
2620,3052,2812,2818,2650,2788,2487,2717,2756
2698,2934,2851,2745,2745,2816,2659,2681,2729
2781,2792,3015,2636,2750,2645,2765,2656,2761
2706,2826,3047,2646,2779,2605,2837,2615,2815
2610,2806,3007,2698,2851,2714,2861,2750,2799
2676,2719,2909,2799,2812,2784,2861,2783,2743
2745,2743,2780,2808,2838,2811,2862,2736,2700
2764,2769,2758,2741,2793,2778,2812,2713,2708
2730,2783,2690,2491,2646,2829,2727,2633,2737
2627,2746,2702,2587,2678,2958,2594,2695,2777
2515,2572,2732,2636,2797,3068,2480,2766,2860
2512,2458,2718,2734,2822,3124,2597,2768,2821
2519,2848,2732,2844,2783,3114,2719,2624,2654
2549,2985,2674,2930,2699,3040,2732,2570,2619
2621,2990,2612,2973,2687,2866,2732,2569,2716
2709,2909,2612,2956,2765,2678,2661,2605,2698
