data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3539,3541,3537,3531,3539,3545,3545,3549,3540
3742,3743,3741,3738,3742,3742,3742,3744,3739
3826,3825,3827,3824,3826,3827,3826,3828,3825
3752,3752,3751,3752,3752,3753,3753,3754,3752
3565,3565,3562,3562,3565,3564,3562,3565,3565
3398,3404,3407,3403,3401,3406,3406,3405,3405
3454,3455,3454,3454,3455,3455,3456,3455,3457
3300,3299,3299,3300,3297,3299,3300,3299,3301
2971,2968,2963,2963,2972,2960,2965,2964,2960
2823,2832,2824,2833,2840,2832,2834,2826,2832
2605,2620,2623,2618,2631,2616,2633,2612,2639
2321,2361,2347,2360,2372,2388,2361,2377,2301
2297,2325,2282,2332,2314,2310,2314,2275,2296
2350,2343,2314,2365,2372,2374,2302,2298,2323
2401,2362,2358,2337,2346,2370,2353,2341,2330
2315,2294,2293,2289,2258,2316,2254,2288,2256
2228,2204,2162,2174,2170,2235,2094,2183,2137
2093,2049,2046,1998,2037,2134,1995,2106,2046
1886,1923,1970,1922,1946,1964,1932,2005,1881
1762,1887,1929,1734,1670,1639,1704,1976,1663
1879,1835,1816,1712,1863,1677,1817,1890,1761
1749,1815,1862,1800,1803,1740,1722,1755,1916
1725,1835,1791,1737,1564,1776,1764,1853,1796
1556,1815,1839,1747,1638,1791,1668,1778,1703
1786,1640,1751,1878,1641,1903,1778,1767,1662
1782,1777,1508,1772,1611,1871,1647,1682,1682
1649,1815,1780,1747,1798,1812,1652,1703,1755
1647,1811,1690,1736,1771,1801,1741,1719,1756
1713,1815,1744,1647,1805,1863,1814,1858,1673
1599,1824,1705,1748,1847,1807,1664,1742,1796
1746,1781,1817,1643,1482,1848,1743,1761,1823
1829,1731,1741,1790,1740,1887,1550,1797,1747
1907,1685,1801,1781,1776,1908,1644,1770,1814
1809,1873,1861,1588,1863,1863,1777,1839,1808
1921,1911,1780,1671,1883,1813,1768,1840,1901
1871,1929,1861,1647,1820,1790,1770,1764,1881
1837,1858,1952,1736,1807,1728,1821,1735,1844
1744,1954,1961,1708,1848,1820,1851,1848,1801
1829,1919,1868,1867,1780,1692,1752,1831,1898
1731,1914,1942,1855,1890,1680,1856,1826,1952
1859,1873,1925,1991,1938,1805,1893,1985,1913
1838,1838,1816,1894,1914,1793,1755,1973,1819
1805,1783,1839,1844,1844,1996,1770,1860,1910
1771,1815,1759,1848,1844,1906,1688,1789,1714
1891,1667,1893,1822,1919,1833,1644,1711,1732
1807,1733,1827,1804,1805,1694,1637,1739,1720
1784,1762,1657,1681,1816,1697,1678,1850,1868
1797,1935,1675,1751,1718,1732,1690,1892,1751
1773,1952,1671,1658,1812,1833,1689,1888,1891
1732,1800,1583,1724,1898,1855,1763,1843,1951
1893,1770,1782,1861,1842,1859,1637,1919,1897
1845,1772,1601,1922,1880,1767,1811,1870,1652
1841,1740,1590,1835,1661,1743,1812,1827,1676
1783,1756,1812,1814,1658,1742,1871,1750,1645
1706,1788,1837,1775,1688,1778,1890,1715,1856
1639,1926,1898,1811,1906,1683,1789,1745,1845
1829,1826,1881,1789,1847,1662,1865,1764,1866
1872,1962,1897,1852,1871,1762,1859,1903,1911
1678,1936,1841,1833,1891,1760,1806,1872,1810
1741,1895,1852,1811,1855,1711,1843,1887,1696
1707,1882,1852,1846,1890,1847,1835,1855,1648
1838,1754,1850,1912,1838,1873,1869,1806,1652
1812,1963,1827,1909,1812,1915,1850,1912,1930
1923,1970,1861,2035,1882,2027,1930,1864,2021
1918,2004,1851,1941,1827,1995,1977,1936,2018
1866,2030,1802,1920,1915,1983,1921,2009,1975
1868,2042,2013,2008,2015,2077,2116,1974,2111
2160,2133,2145,2146,2136,2201,2114,2149,2098
2208,2191,2177,2162,2221,2293,2261,2292,2143
2227,2194,2193,2159,2269,2305,2204,2332,2184
2215,2196,2232,2160,2212,2270,2225,2320,2171
2263,2211,2190,2156,2151,2186,2208,2211,2147
2232,2064,2123,2182,2129,2116,2094,2129,2100
2220,2220,2164,2241,2254,2193,2177,2151,2186
2286,2289,2246,2272,2297,2263,2234,2202,2187
2275,2305,2180,2283,2274,2318,2252,2319,2234
2221,2294,2213,2250,2215,2270,2238,2331,2178
2138,2291,2227,2213,2304,2275,2265,2363,2139
2064,2302,2166,2215,2294,2212,2300,2326,2288
2181,2318,2293,2279,2242,2290,2314,2381,2408
2345,2401,2341,2350,2283,2227,2321,2425,2434
2426,2480,2398,2373,2364,2253,2456,2367,2383
2570,2579,2454,2448,2492,2469,2480,2482,2392
2632,2666,2514,2552,2607,2566,2498,2540,2502
2638,2702,2534,2541,2634,2599,2513,2567,2591
2632,2698,2558,2583,2591,2609,2542,2624,2691
2707,2724,2684,2704,2687,2675,2740,2713,2757
2727,2731,2774,2719,2758,2768,2873,2779,2754
2808,2772,2810,2699,2822,2831,2930,2801,2712
2777,2785,2747,2622,2812,2855,2951,2802,2702
2684,2708,2629,2595,2730,2792,2882,2765,2684
2574,2751,2475,2519,2609,2678,2648,2659,2688
2608,2749,2524,2577,2520,2563,2584,2732,2748
2616,2641,2610,2559,2551,2529,2459,2758,2823
2711,2701,2722,2626,2670,2664,2618,2766,2882
2737,2782,2809,2723,2812,2750,2699,2741,2904
2786,2787,2872,2758,2918,2816,2716,2721,2884
2761,2802,2908,2824,2959,2791,2799,2747,2855
2759,2807,2862,2974,2978,2647,2764,2810,2866
2872,2766,2749,3045,2968,2635,2816,2820,2832
2895,2746,2634,3002,2894,2674,2861,2828,2795
2843,2755,2619,2906,2707,2711,2824,2887,2756
2745,2713,2672,2804,2747,2743,2755,2903,2609
2697,2644,2609,2760,2767,2784,2733,2877,2815
2675,2633,2697,2775,2787,2806,2792,2876,2846
