data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3490,3500,3494,3490,3493,3476,3485,3495,3488
3772,3775,3771,3772,3772,3768,3771,3772,3771
3884,3885,3882,3882,3882,3881,3881,3882,3883
3832,3832,3833,3830,3832,3831,3832,3830,3831
3645,3644,3645,3645,3643,3645,3645,3645,3645
3492,3489,3493,3493,3491,3492,3492,3493,3495
3524,3522,3522,3523,3523,3523,3524,3522,3523
3396,3395,3392,3397,3396,3395,3394,3393,3395
3072,3067,3062,3068,3073,3062,3072,3066,3074
2850,2846,2837,2848,2844,2849,2846,2836,2847
2642,2629,2647,2629,2632,2640,2639,2626,2610
2306,2310,2335,2355,2238,2348,2299,2335,2351
2300,2139,2291,2324,2261,2271,2277,2316,2278
2043,2113,2099,2089,2064,1983,2013,2010,2058
1864,1930,1937,1979,1897,1969,1930,1891,1946
1878,1845,1721,2006,1959,1867,1872,1837,1813
1698,1760,1786,1848,1634,1794,1592,1781,1726
1674,1688,1587,1706,1628,1771,1646,1864,1722
1572,1703,1670,1787,1564,1747,1740,1700,1771
1907,1715,1679,1824,1759,1551,1629,1880,1936
2113,2158,2105,1991,2050,2030,2165,2232,2183
2300,2407,2383,2331,2308,2350,2418,2358,2276
2363,2496,2532,2497,2491,2488,2508,2536,2459
2490,2546,2527,2565,2587,2548,2507,2524,2523
2519,2490,2326,2529,2534,2486,2418,2489,2480
2410,2342,2371,2401,2342,2340,2305,2369,2349
2239,2175,2205,2201,2267,2099,2076,2153,2244
1994,1982,2095,2008,2053,2065,1888,1893,2067
1670,2015,2003,1981,1970,1914,1885,1697,1849
1845,1856,1871,1892,1855,1650,1784,1867,1703
1887,1787,1754,1864,1867,1749,1868,1851,1616
1845,1713,1763,1838,1869,1736,1816,1914,1734
1840,1654,1767,1663,1745,1753,1729,1876,1726
1780,1733,1749,1742,1828,1848,1681,1883,1733
1696,1714,1793,1853,1721,1738,1760,1843,1806
1721,1886,1943,1847,1555,1896,1882,1758,1778
1908,1915,2059,2014,1860,2067,1976,1927,2034
2097,2121,2212,2168,2095,2220,2188,2129,2222
2221,2202,2310,2197,2177,2304,2264,2213,2273
2275,2165,2282,2155,2229,2248,2279,2254,2299
2211,2051,2175,2027,2113,2127,2155,2106,2145
2049,1840,1975,1912,1980,1816,2037,1848,1921
1879,1874,1962,1732,1772,1715,1874,1778,1800
2011,1819,1830,1788,1778,1899,1824,1812,1732
1987,1834,1859,1932,1892,1967,1911,1838,1876
2033,1937,1878,1899,1929,1877,1863,1867,1904
1950,1945,1797,1902,1921,1817,1874,1854,1877
1897,1895,1771,1726,1859,1860,1860,1835,1881
1744,1970,1935,1928,1889,1901,1854,1977,1923
2163,2261,2227,2189,2226,2258,2126,2194,2212
2524,2510,2506,2503,2531,2499,2495,2527,2469
2694,2694,2684,2693,2700,2698,2686,2702,2687
2742,2735,2739,2727,2739,2745,2750,2752,2719
2652,2653,2664,2638,2667,2670,2661,2673,2637
2570,2566,2557,2546,2581,2539,2582,2588,2564
2557,2599,2577,2556,2603,2601,2579,2609,2573
2657,2667,2680,2693,2675,2692,2652,2675,2635
2574,2554,2604,2589,2513,2593,2552,2565,2558
2455,2531,2518,2479,2529,2557,2526,2536,2483
2432,2467,2463,2478,2521,2497,2513,2530,2475
2409,2321,2459,2454,2485,2441,2473,2464,2495
2280,2335,2456,2432,2478,2277,2465,2454,2428
2291,2311,2402,2372,2444,2213,2440,2391,2349
2279,2327,2171,2338,2377,2320,2349,2368,2363
2217,2315,2222,2304,2299,2273,2334,2261,2358
2265,2288,2172,2334,2282,2271,2319,2278,2365
2335,2335,2325,2295,2248,2267,2290,2249,2308
2387,2416,2374,2419,2412,2304,2367,2379,2318
2510,2495,2499,2541,2497,2530,2469,2498,2490
2615,2553,2637,2518,2606,2641,2601,2557,2589
2716,2691,2731,2699,2703,2726,2710,2684,2683
2759,2764,2787,2785,2778,2797,2786,2780,2756
2790,2792,2835,2814,2833,2845,2818,2827,2795
2776,2787,2809,2786,2807,2828,2750,2804,2789
2805,2809,2777,2806,2796,2810,2748,2811,2766
2831,2820,2815,2832,2832,2825,2803,2822,2803
2887,2866,2880,2883,2891,2883,2878,2879,2878
2949,2945,2944,2948,2946,2939,2941,2945,2945
2972,2974,2970,2974,2973,2965,2961,2969,2968
2962,2968,2966,2961,2960,2957,2950,2955,2959
2899,2924,2922,2912,2899,2907,2913,2896,2907
2857,2869,2887,2863,2869,2879,2872,2841,2872
2846,2842,2844,2833,2834,2845,2841,2826,2842
2806,2801,2778,2793,2801,2803,2797,2782,2788
2790,2772,2762,2779,2790,2779,2784,2770,2774
2702,2718,2668,2700,2693,2703,2693,2695,2655
2534,2514,2589,2611,2587,2535,2568,2569,2541
2644,2616,2615,2631,2594,2607,2592,2609,2566
2615,2622,2625,2623,2562,2614,2580,2626,2544
2545,2567,2570,2525,2541,2530,2597,2577,2554
2675,2656,2682,2655,2647,2627,2678,2680,2676
2695,2695,2711,2685,2660,2655,2686,2685,2703
2631,2638,2664,2651,2632,2620,2665,2633,2643
2523,2539,2583,2534,2557,2546,2577,2538,2517
2498,2436,2496,2509,2490,2496,2480,2455,2465
2558,2529,2512,2557,2449,2572,2568,2508,2455
2616,2609,2554,2644,2567,2631,2622,2618,2616
2622,2607,2580,2639,2584,2620,2613,2601,2604
2548,2543,2546,2563,2525,2548,2542,2525,2545
2543,2560,2566,2574,2543,2542,2538,2541,2559
2562,2586,2595,2599,2563,2555,2562,2572,2579
2551,2597,2579,2577,2574,2560,2542,2552,2595
2516,2575,2560,2564,2539,2564,2499,2531,2569
2493,2514,2522,2518,2499,2546,2501,2512,2528
2478,2444,2500,2458,2461,2505,2478,2484,2501
2426,2395,2480,2379,2424,2482,2442,2423,2450
2360,2329,2413,2304,2307,2429,2363,2320,2391
2294,2221,2360,2167,2331,2361,2312,2291,2378
2266,2240,2314,2147,2347,2352,2294,2263,2309
2361,2287,2284,2358,2302,2340,2350,2298,2328
2399,2372,2402,2419,2355,2392,2427,2397,2408
2391,2392,2404,2365,2377,2389,2411,2398,2412
2357,2389,2399,2376,2359,2371,2397,2372,2396
2292,2365,2256,2378,2355,2343,2353,2397,2376
2407,2475,2433,2474,2475,2470,2469,2441,2484
2602,2617,2537,2564,2764,2548,2537,2523,2565
2952,2887,2663,2541,3047,2621,2782,2752,2597
3214,3100,2838,2626,3177,2674,3056,2913,2810
3373,3241,2884,2799,3164,3096,3257,3077,2884
3447,3448,3081,2978,3139,3310,3444,3349,2952
3423,3660,3471,3151,3448,3511,3691,3488,3316
3360,3810,3711,3276,3617,3704,3922,3460,3674
3602,3860,3801,3330,3671,3844,4088,3329,3925
3760,3794,3746,3312,3647,3939,4186,3656,4059
3779,3576,3461,3406,3563,3971,4208,3835,4076
3666,3657,3049,3507,3406,3952,4149,3853,3995
3452,3817,3125,3523,3246,3864,3995,3752,3803
3276,3823,2922,3435,3097,3679,3731,3576,3482
3325,3690,3430,3180,2828,3392,3437,3458,3029
3281,3505,3493,2975,2839,3190,3122,3443,3034
3152,3312,3363,3097,2734,3058,2909,3355,2966
3044,3156,3018,3065,2705,2848,3001,3135,2814
2964,2987,2631,2962,2713,2639,2964,2653,2956
2821,2782,2818,2866,2816,2571,2770,2642,3031
2654,2601,2804,2819,2825,2705,2749,2821,3052
2596,2580,2753,2751,2756,2767,2706,2825,3054
2756,2473,2730,2691,2657,2756,2805,2802,2996
2771,2525,2731,2672,2605,2731,2857,2743,2905
2733,2595,2737,2594,2556,2636,2818,2667,2819
2648,2587,2625,2596,2538,2556,2731,2625,2745
2564,2694,2516,2573,2345,2619,2589,2487,2661
2553,2709,2482,2470,2634,2673,2523,2502,2661
2586,2663,2505,2559,2641,2701,2501,2578,2564
2632,2523,2504,2462,2618,2681,2486,2637,2440
2630,2557,2425,2521,2624,2612,2562,2606,2493
2646,2673,2570,2611,2698,2577,2696,2604,2593
2706,2738,2676,2754,2747,2546,2729,2650,2642
2668,2715,2662,2748,2711,2624,2689,2671,2605
2549,2569,2592,2571,2630,2544,2638,2609,2539
2433,2396,2451,2392,2487,2417,2562,2488,2521
2481,2417,2545,2463,2441,2443,2529,2502,2527
2528,2501,2561,2508,2481,2518,2552,2515,2490
2587,2566,2544,2551,2511,2541,2569,2508,2553
2610,2529,2573,2546,2496,2543,2552,2403,2507
2544,2383,2525,2500,2401,2507,2508,2518,2370
2528,2551,2524,2537,2493,2506,2565,2560,2492
2561,2519,2502,2557,2531,2490,2576,2505,2485
