data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3493,3488,3487,3496,3494,3498,3493,3491,3490
3733,3735,3733,3737,3735,3731,3736,3734,3733
3851,3850,3850,3850,3850,3849,3852,3848,3848
3797,3798,3795,3798,3797,3796,3796,3797,3794
3610,3612,3611,3611,3611,3610,3611,3610,3613
3484,3485,3484,3482,3483,3484,3485,3482,3484
3494,3495,3494,3493,3495,3495,3492,3493,3492
3370,3368,3367,3367,3369,3367,3368,3365,3367
3056,3054,3053,3049,3059,3052,3053,3051,3052
2808,2789,2808,2800,2814,2817,2800,2802,2807
2565,2579,2589,2568,2587,2571,2569,2588,2581
2337,2280,2327,2263,2294,2288,2321,2275,2304
2235,2167,2278,2190,2253,2228,2223,2209,2245
2019,1992,2020,2092,2080,2007,1957,1885,1938
1968,1937,1945,1920,1822,1779,2004,1903,1942
1790,1946,1936,1833,1843,1936,1875,1934,1887
1663,1699,1777,1661,1786,1724,1689,1714,1732
1589,1851,1710,1402,1842,1706,1658,1846,1770
1795,1701,1825,1674,1720,1502,1726,1810,1734
1672,1607,1699,1760,1729,1633,1788,1716,1735
1847,1929,1795,1831,1823,1825,1901,1903,1897
1999,2033,1964,2021,1949,2051,2017,2013,1875
2111,2071,2094,2042,2002,2102,2125,2164,2136
2162,2123,2151,2113,2109,2206,2186,2192,2209
2094,2153,2176,2147,2166,2131,2133,2205,2201
2079,2053,2113,2129,2129,2087,2035,2154,2097
1904,1952,1908,1923,1973,1984,1949,1989,1880
1803,1852,1746,1811,1785,1910,1779,1961,1788
1723,1858,1691,1845,1777,1837,1813,1855,1699
1888,1884,1736,1841,1797,1873,1772,1835,1829
1803,1787,1814,1891,1802,1840,1747,1780,1572
1696,1778,1898,1756,1892,1834,1732,1733,1678
1628,1737,1907,1892,1813,1748,1711,1731,1736
1738,1878,1791,1928,1724,1558,1790,1654,1774
1796,1803,1857,1962,1895,1843,1765,1789,1807
1906,1894,1874,1911,1879,1989,1887,1876,1852
1945,1981,1952,1881,1988,1939,1917,1872,1838
2057,2097,2039,1938,2109,2092,2010,1989,1903
2053,2038,2087,1989,2173,2159,2041,2022,2093
2039,1987,2118,2029,2112,2096,2002,1959,2117
1915,2011,1970,1884,1877,1955,1880,1955,2050
1887,1851,1826,1676,1906,1871,1806,1861,1951
1973,1881,1778,1715,1986,1845,1751,1885,1959
1966,1918,1904,1726,1907,1824,1846,1786,1910
1990,1855,1958,1809,2046,1872,1913,1777,1808
2035,1804,1952,1808,2064,1865,1957,1959,1752
1966,1916,1767,1907,1841,1770,1880,1868,1766
1812,1979,1850,1876,1945,1744,1730,1834,1778
1929,2017,1811,1896,2044,1902,1946,1791,2031
2273,2180,2211,2246,2299,2294,2235,2137,2315
2554,2514,2539,2538,2549,2564,2522,2509,2562
2716,2698,2718,2708,2718,2735,2720,2685,2713
2782,2790,2817,2812,2808,2804,2791,2776,2803
2836,2828,2839,2848,2840,2844,2836,2817,2833
2836,2823,2844,2839,2846,2840,2832,2840,2813
2752,2730,2744,2756,2763,2767,2754,2763,2699
2529,2544,2565,2622,2597,2614,2605,2631,2550
2581,2552,2569,2590,2602,2607,2599,2588,2612
2582,2553,2591,2586,2583,2597,2570,2541,2597
2537,2504,2541,2527,2531,2560,2533,2480,2550
2382,2395,2436,2449,2425,2472,2428,2370,2404
2334,2351,2398,2346,2368,2406,2401,2336,2380
2352,2307,2405,2330,2371,2370,2380,2301,2327
2369,2287,2355,2291,2345,2385,2374,2246,2311
2400,2390,2384,2369,2317,2342,2388,2352,2316
2522,2524,2519,2456,2500,2450,2547,2459,2477
2691,2688,2693,2709,2664,2714,2667,2715,2695
