data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3545,3546,3547,3561,3552,3551,3541,3545,3555
3742,3746,3748,3750,3749,3748,3745,3748,3751
3827,3828,3828,3830,3830,3828,3828,3829,3832
3753,3754,3754,3754,3754,3754,3754,3754,3758
3565,3566,3565,3564,3565,3565,3565,3565,3567
3411,3406,3410,3407,3408,3409,3404,3409,3411
3459,3458,3458,3459,3457,3459,3458,3458,3459
3300,3303,3302,3307,3302,3302,3303,3303,3304
2931,2923,2923,2920,2934,2923,2929,2930,2928
2797,2804,2795,2791,2796,2795,2808,2801,2798
2573,2592,2586,2598,2594,2575,2601,2578,2596
2307,2345,2331,2369,2375,2361,2356,2364,2340
2306,2285,2276,2303,2299,2305,2291,2329,2304
2334,2356,2329,2357,2333,2334,2349,2324,2342
2321,2393,2365,2382,2314,2345,2340,2355,2340
2306,2331,2328,2351,2261,2278,2271,2300,2266
2155,2293,2218,2194,2179,2208,2068,2159,2133
1997,2187,2144,2124,2135,2151,2087,2054,2027
1776,2084,1959,1927,1967,1985,1917,1948,1979
1736,1885,1728,1739,1912,1897,1669,1813,1849
1752,1832,1783,1852,1939,1882,1873,1762,1732
1854,1693,1756,1679,1894,1868,1814,1829,1799
1725,1687,1683,1845,1788,1646,1878,1679,1764
1738,1752,1734,1839,1793,1678,1720,1724,1706
1655,1718,1886,1860,1704,1756,1822,1786,1684
1838,1721,1871,1690,1714,1859,1797,1825,1692
1804,1686,1781,1807,1697,1772,1796,1666,1803
1801,1719,1838,1849,1742,1627,1509,1676,1803
1653,1774,1772,1744,1809,1688,1711,1862,1853
1755,1806,1764,1766,1709,1831,1751,1765,1865
1598,1827,1763,1803,1754,1841,1819,1839,1813
1796,1763,1657,1896,1757,1783,1852,1910,1646
1775,1822,1718,1745,1747,1797,1849,1787,1606
1841,1775,1896,1741,1782,1785,1875,1789,1800
1847,1814,1810,1855,1826,1835,1904,1749,1867
1876,1720,1614,1763,1824,1780,1788,1803,1717
1829,1756,1805,1833,1822,1720,1718,1790,1774
1826,1821,1812,1794,1646,1803,1786,1876,1847
1891,1691,1756,1829,1635,1689,1751,1833,1812
1721,1740,1784,1840,1722,1617,1693,1690,1664
1649,1787,1642,1856,1725,1640,1861,1780,1739
1752,1798,1815,1839,1842,1705,1877,1855,1735
1728,1856,1880,1799,1735,1857,1629,1876,1821
1783,1860,1879,1849,1876,1788,1793,1875,1826
1776,1861,1958,1788,1865,1712,1697,1982,1837
1885,1834,1953,1928,1787,1846,1821,1921,1789
1782,1904,1745,1845,1936,1796,1824,1910,1815
1738,1727,1865,1691,1948,1784,2019,1846,1675
1592,1801,1733,1701,1975,1833,1977,1894,1784
1692,1790,1812,1814,1884,1767,1952,1772,1821
1678,1787,1803,1873,1966,1740,2016,1752,1947
1705,1838,1760,1847,1894,1782,1959,1670,1913
1821,1836,1717,1876,1793,1817,1653,1786,1761
1743,1794,1609,1743,1678,1695,1659,1825,1752
1825,1862,1587,1716,1865,1725,1784,1855,1889
1683,1616,1757,1690,1928,1817,1642,1796,1879
1802,1771,1833,1625,1944,1683,1762,1746,1910
1789,1935,1804,1811,1907,1770,1750,1840,1842
1826,1776,1884,1863,1942,1695,1852,1857,1852
1841,1733,1871,1832,1827,1683,1896,1932,1765
1855,1780,1843,1796,1925,1876,1954,2003,1880
1935,1931,1866,1673,1943,1851,1961,1953,2043
1953,1978,1796,1855,1782,1904,1916,1920,2018
1968,1913,1829,1934,1909,1863,1894,1982,1917
2041,2003,1946,1969,1933,1899,2006,1902,1936
2307,2173,2255,2197,2207,2131,2208,2146,2247
2435,2394,2401,2437,2352,2356,2419,2366,2424
2477,2440,2422,2533,2488,2440,2515,2447,2553
