data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3492,3508,3510,3501,3508,3501,3494,3504,3488
3765,3770,3767,3767,3768,3765,3763,3767,3764
3874,3878,3877,3874,3877,3873,3874,3874,3875
3825,3827,3825,3824,3827,3825,3826,3826,3826
3630,3633,3630,3631,3630,3633,3634,3632,3634
3481,3480,3478,3483,3480,3479,3482,3480,3479
3518,3520,3519,3522,3517,3519,3520,3520,3520
3391,3389,3388,3391,3388,3389,3390,3389,3391
3053,3058,3054,3051,3045,3050,3064,3048,3061
2841,2840,2827,2837,2851,2848,2852,2838,2853
2640,2614,2628,2603,2623,2622,2630,2612,2626
2371,2322,2355,2261,2282,2352,2339,2306,2353
2328,2303,2309,2283,2272,2288,2294,2297,2294
2013,2065,2016,1943,2038,2007,2018,2082,2045
1875,2000,1977,1910,1918,1974,1834,1857,2040
1890,1933,1859,1955,2017,1970,1872,1909,1843
1661,1784,1784,1853,1858,1796,1845,1842,1699
1624,1763,1620,1822,1803,1730,1692,1889,1821
1694,1727,1666,1765,1762,1716,1827,1852,1784
1697,1752,1587,1660,1622,1574,1713,1831,1719
1749,1807,1632,1864,1735,1743,1626,1881,1864
1810,1855,1814,1837,1745,1866,1921,1926,1797
1940,2035,1968,1943,1822,1913,2024,1979,1790
1977,2050,1974,2000,2013,1908,2043,2093,1904
2013,2102,1842,2053,2044,2043,2009,2067,1944
1993,1976,1809,2033,1852,1998,1865,2057,1895
1710,1892,1777,1830,1763,1958,1891,1964,1809
1847,1903,1776,1786,1789,1950,1762,1845,1813
1810,1951,1441,1727,1696,1896,1777,1794,1848
1684,1929,1756,1731,1793,1794,1843,1892,1819
1812,1840,1731,1621,1748,1723,1898,1834,1551
1792,1878,1668,1829,1697,1870,1774,1520,1786
1789,1831,1856,1801,1716,1787,1900,1890,1891
1666,1819,1761,1794,1705,1693,1927,1820,1771
1588,1830,1737,1666,1765,1684,1955,1818,1755
1709,1890,1750,1713,1806,1731,1846,1826,1784
1789,1869,1891,1928,1721,1848,1810,1761,1694
