data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3507,3522,3492,3509,3500,3500,3504,3494,3494
3771,3777,3766,3775,3772,3770,3771,3768,3768
3880,3883,3880,3881,3880,3881,3882,3880,3879
3832,3834,3829,3831,3830,3830,3830,3829,3829
3639,3639,3639,3639,3637,3639,3640,3638,3639
3481,3481,3482,3482,3481,3482,3483,3479,3479
3526,3526,3523,3524,3524,3526,3523,3526,3528
3394,3397,3396,3396,3398,3396,3394,3397,3399
3046,3043,3037,3049,3038,3051,3041,3051,3050
2848,2833,2830,2827,2839,2849,2850,2844,2833
2648,2625,2621,2641,2644,2659,2638,2644,2645
2262,2319,2303,2276,2341,2316,2321,2232,2341
2279,2299,2296,2252,2274,2193,2303,2257,2269
2090,2072,2100,2054,2101,2067,2125,2003,2032
1970,1976,1834,1907,1741,1944,1927,1893,1880
1992,1943,1957,1978,1882,1951,1939,1889,1932
1697,1798,1891,1676,1820,1751,1825,1860,1763
1614,1713,1870,1798,1679,1565,1725,1801,1783
1783,1778,1760,1738,1736,1804,1772,1696,1799
1799,1749,1853,1622,1507,1699,1781,1743,1726
1860,1858,1934,1872,1681,1717,1720,1872,1839
1829,2052,2007,1825,1948,1922,1950,1819,2005
2023,2084,2020,2076,2105,2049,2043,1980,2079
2082,2164,2065,2081,2181,2039,2082,2062,2142
2123,2122,2100,2101,2069,2008,2033,2073,2097
2009,2037,2059,1916,2049,1975,1945,2071,2008
1787,1794,1874,1778,1873,1880,1814,1854,1804
1773,1834,1861,1823,1851,1759,1828,1765,1663
1812,1762,1765,1746,1776,1790,1863,1765,1776
1858,1718,1626,1806,1788,1713,1784,1790,1748
1908,1756,1736,1892,1823,1700,1689,1757,1716
1919,1614,1836,1677,1763,1681,1741,1745,1793
1829,1655,1766,1563,1615,1712,1828,1747,1810
1907,1737,1865,1607,1760,1702,1865,1777,1765
1960,1772,1855,1688,1774,1801,1797,1904,1880
1963,1808,1793,1653,1883,1873,1785,1920,1731
1872,1776,1658,1896,1853,1730,1846,1758,1879
1870,1606,1777,1933,1932,1772,1872,1858,1985
1850,1753,1836,1782,1847,1778,1956,1781,2033
1870,1773,1853,1916,1802,1896,1923,1855,2043
1904,1854,1784,1922,1880,1754,1998,1780,1991
1794,1857,1810,1857,1985,1819,1994,1896,1971
1926,1900,1841,1946,2000,1762,1972,1857,1874
1906,1770,1800,1894,1888,1673,1855,1889,1915
1890,1828,1903,1881,1712,1711,1862,1912,1852
1952,1922,2007,1885,1772,1814,1665,1961,1773
1910,1924,1948,1731,1877,1837,1793,1776,1940
1916,1904,1933,1867,1950,1897,1863,1776,2001
1763,1862,1883,1960,2014,1984,1864,1929,2008
1948,2042,2007,2118,2117,2162,1917,2062,2029
2100,2116,2050,2221,2086,2221,2046,2162,2118
2195,2249,2227,2257,2242,2329,2219,2252,2202
2310,2298,2291,2329,2313,2344,2245,2316,2297
2393,2410,2432,2295,2409,2344,2316,2464,2448
2500,2510,2506,2407,2487,2424,2492,2511,2526
2528,2565,2537,2477,2540,2460,2551,2494,2567
2503,2528,2488,2453,2520,2473,2517,2471,2514
2422,2435,2397,2414,2478,2419,2412,2376,2471
2376,2376,2382,2379,2443,2369,2382,2444,2431
2327,2328,2329,2362,2393,2341,2367,2408,2371
2275,2291,2224,2317,2336,2334,2245,2330,2235
2177,2329,2268,2264,2229,2281,2329,2272,2207
2333,2429,2402,2405,2390,2413,2430,2345,2352
2564,2559,2526,2554,2559,2545,2520,2573,2531
2688,2664,2647,2662,2677,2670,2651,2693,2678
2747,2722,2730,2739,2751,2733,2717,2759,2738
2757,2758,2751,2772,2777,2735,2743,2770,2743
2737,2742,2718,2744,2744,2716,2720,2747,2730
2669,2687,2637,2660,2631,2633,2612,2658,2602
2634,2662,2637,2638,2669,2625,2676,2663,2604
2582,2658,2672,2651,2683,2641,2680,2714,2705
2651,2670,2678,2694,2668,2657,2695,2728,2710
2729,2677,2711,2774,2735,2627,2628,2757,2682
2719,2741,2758,2704,2689,2750,2743,2711,2732
2740,2738,2755,2708,2641,2710,2696,2668,2685
2750,2738,2816,2765,2793,2770,2772,2787,2773
2843,2881,2918,2876,2908,2890,2890,2911,2913
2890,2915,2933,2895,2930,2916,2958,2946,2972
2966,2968,2972,2979,2993,3012,3016,3012,3037
3017,3017,3007,3016,3023,3042,3060,3044,3058
3051,3056,3045,3063,3072,3077,3094,3063,3074
3105,3110,3092,3110,3124,3134,3140,3095,3113
3116,3186,3121,3140,3154,3181,3162,3088,3150
3030,3224,3085,3103,3078,3149,3140,3019,3142
2936,3246,3057,2996,2930,3078,3112,2917,3107
2865,3222,3061,2841,2966,2998,3065,2864,3061
2836,3120,2997,2943,2978,2968,3012,2888,2956
2892,2958,2825,2942,2913,2978,2950,2916,2968
2899,2881,2895,2963,2835,2952,2948,2931,2879
2881,2832,2874,2912,2873,2880,2879,2913,2771
2846,2844,2718,2776,2813,2847,2804,2858,2794
2775,2803,2814,2739,2837,2846,2776,2823,2833
2868,2695,2775,2661,2838,2851,2733,2773,2792
2850,2705,2735,2742,2802,2804,2754,2680,2634
2809,2675,2775,2724,2720,2662,2775,2612,2705
2737,2588,2834,2820,2659,2524,2759,2678,2816
2640,2560,2957,2865,2768,2667,2837,2812,2920
2690,2701,3039,2904,2795,2818,2886,2878,2940
2807,2800,3061,2926,2858,2842,2885,2903,2901
2840,2810,3042,2933,2894,2846,2865,2873,2911
2877,2830,2966,2855,2890,2811,2773,2761,2829
2885,2814,2796,2803,2792,2822,2741,2666,2793
2837,2722,2716,2751,2681,2773,2760,2665,2769
2728,2568,2604,2678,2696,2685,2766,2609,2686
2712,2584,2523,2670,2706,2602,2743,2724,2563
2690,2624,2508,2610,2751,2709,2748,2746,2605
2638,2618,2334,2373,2712,2808,2679,2724,2685
2533,2500,2353,2359,2567,2792,2583,2657,2707
2370,2444,2321,2565,2471,2729,2605,2616,2702
2550,2524,2262,2631,2490,2681,2600,2582,2739
2599,2559,2402,2622,2648,2680,2615,2616,2773
2602,2600,2527,2562,2681,2696,2673,2767,2728
2618,2636,2605,2577,2707,2709,2649,2836,2616
2636,2724,2677,2527,2705,2632,2738,2868,2712
2464,2747,2703,2649,2664,2480,2723,2842,2804
2662,2673,2712,2653,2714,2489,2833,2803,2853
2698,2748,2844,2592,2761,2473,2881,2815,2876
2658,2803,2907,2648,2801,2526,2870,2847,2865
2544,2749,2916,2695,2832,2663,2811,2828,2851
2568,2687,2854,2693,2756,2730,2837,2758,2830
2703,2709,2787,2729,2728,2797,2837,2635,2805
2767,2662,2754,2697,2800,2828,2777,2699,2812
2784,2690,2752,2503,2768,2798,2598,2737,2801
2738,2677,2695,2608,2555,2733,2611,2687,2751
2590,2571,2651,2592,2598,2617,2643,2682,2661
2470,2514,2636,2480,2563,2602,2537,2660,2571
2560,2721,2566,2647,2633,2589,2576,2699,2515
2681,2712,2595,2814,2765,2606,2567,2825,2492
2660,2769,2709,2869,2864,2749,2629,2910,2531
2708,2824,2810,2847,2892,2892,2701,2951,2675
2702,2815,2853,2825,2869,2961,2730,2930,2760
2664,2764,2821,2813,2794,2974,2711,2867,2769
2667,2760,2836,2733,2667,2891,2692,2736,2745
2586,2685,2844,2604,2599,2734,2781,2678,2684
2488,2660,2769,2540,2698,2612,2813,2495,2720
2547,2638,2488,2629,2687,2573,2853,2570,2809
2736,2679,2627,2752,2678,2664,2847,2608,2860
2844,2724,2771,2792,2714,2803,2782,2582,2841
2902,2807,2785,2783,2748,2905,2774,2637,2756
2868,2888,2717,2641,2732,2967,2784,2801,2768
2832,2976,2580,2810,2753,3012,2839,2864,2825
2747,3033,2622,2836,2794,2998,2954,2878,2819
2808,3101,2809,2905,2837,2970,3008,2870,2869
3011,3128,2988,2959,2948,2973,3000,2896,2924
3110,3115,3055,3029,3030,2978,2933,2885,2953
3130,3017,3021,3043,3037,3004,2862,2843,2893
3044,2940,2856,2989,2933,2914,2753,2821,2835
2852,2857,2868,2841,2792,2914,2835,2813,2839
2766,2723,2701,2661,2645,2797,2767,2782,2819
2746,2741,2699,2636,2768,2727,2784,2735,2860
2878,2938,2855,2898,3036,2925,2830,2791,3032
3146,3150,3029,3118,3194,3142,3090,3005,3188
3261,3244,3150,3242,3244,3242,3196,3134,3250
3262,3245,3192,3284,3210,3199,3188,3145,3212
3189,3165,3153,3258,3067,2927,3098,3078,3018
3123,3074,3064,3225,3024,3058,3063,3087,2726
3133,3040,2984,3229,2972,3224,3145,3182,2935
3182,3106,3045,3251,2866,3234,3150,3195,2905
3144,3085,3045,3240,2652,3109,3005,3123,2845
3011,2949,2920,3179,2704,2872,2739,2988,2795
2892,2733,2879,3052,2716,2738,2694,2845,2875
2906,2708,2909,2839,2647,2711,2741,2800,2858
2936,2735,2830,2810,2522,2755,2552,2857,2876
2916,2710,2799,2721,2475,2840,2720,2904,2887
2865,2674,2825,2787,2589,2881,2712,2907,2881
2827,2500,2843,2823,2625,2895,2649,2901,2847
2880,2423,2819,2830,2654,2821,2666,2890,2791
2795,2731,2853,2906,2663,2774,2677,2829,2792
2735,2903,2816,2959,2674,2733,2689,2784,2766
2809,2974,2835,2960,2676,2702,2680,2782,2793
2909,2965,2917,2869,2643,2764,2624,2816,2685
2982,2932,2993,2816,2570,2828,2596,2888,2522
2988,2911,3029,2841,2697,2873,2748,2919,2745
3025,2925,3007,2814,2835,2821,2988,2941,2866
3162,3102,3125,3043,3061,2953,3181,3153,3118
3294,3295,3302,3284,3272,3201,3326,3290,3289
3394,3420,3431,3423,3419,3357,3427,3393,3401
3438,3474,3478,3501,3482,3431,3485,3450,3449
3422,3444,3468,3474,3459,3416,3467,3444,3453
3354,3369,3400,3401,3360,3346,3394,3392,3404
3253,3251,3257,3265,3190,3257,3287,3293,3317
3138,3095,3069,3079,2988,3129,3162,3185,3215
3019,2967,3054,2933,2973,3115,3092,3122,3137
3029,2976,3075,3077,3083,3135,3079,3113,3093
3045,3075,2992,3128,3098,3040,2995,3092,2996
3044,3075,2948,3086,3031,2883,2956,3052,2959
3096,3005,2991,2965,2999,3048,3007,3024,2979
3162,3076,3197,3150,3158,3213,3145,3170,3156
3269,3230,3265,3302,3298,3252,3291,3306,3280
3279,3202,3268,3293,3331,3269,3322,3308,3280
3182,3261,3207,3223,3241,3190,3239,3200,3183
3019,3170,3076,3060,3019,2960,2995,2908,2963
2891,2993,2950,2876,2740,2791,2902,2781,2912
2855,2997,2840,2817,2745,2829,2904,2686,2936
2883,2971,2802,2831,2747,2815,2860,2662,2950
2946,2929,2666,2879,2726,2818,2756,2775,2944
2952,2842,2528,2745,2753,2837,2732,2876,2939
2958,2939,2629,2688,2844,2905,2705,2922,3011
2975,3018,2753,2846,2763,2960,2852,2898,3032
2910,3048,2734,2937,2813,3002,2902,2829,3003
2711,3036,2765,2971,2780,3018,2849,2704,2947
2722,2959,2853,2935,2948,2979,2841,2822,2879
2752,2814,2881,2903,2975,2887,2772,2814,2814
2822,2746,2773,2819,2921,2774,2601,2820,2770
2864,2856,2728,2731,2782,2818,2556,2913,2814
