data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3506,3507,3504,3502,3491,3509,3505,3501,3516
3736,3735,3736,3734,3730,3736,3736,3735,3738
3851,3852,3851,3851,3849,3853,3852,3851,3854
3801,3802,3801,3802,3799,3802,3803,3802,3804
3608,3609,3609,3610,3608,3610,3610,3609,3612
3480,3482,3480,3481,3479,3479,3482,3481,3483
3493,3493,3494,3495,3495,3495,3493,3496,3496
3368,3370,3368,3368,3369,3369,3368,3368,3370
3042,3037,3047,3043,3044,3044,3044,3047,3044
2800,2810,2803,2807,2791,2807,2808,2801,2815
2567,2580,2586,2565,2585,2572,2573,2581,2586
2292,2311,2252,2331,2271,2281,2295,2308,2314
2222,2264,2260,2251,2239,2232,2208,2243,2203
1963,2011,1994,1984,1953,2002,1972,2014,2053
1941,1885,1933,1873,1894,1831,1939,2008,1999
1863,1829,1888,1948,1901,1950,1914,1928,1759
1796,1632,1743,1750,1769,1692,1779,1799,1820
1629,1791,1771,1636,1660,1678,1622,1806,1663
1711,1877,1816,1736,1775,1680,1825,1810,1744
1675,1774,1697,1763,1798,1780,1636,1780,1696
1576,1753,1855,1869,1786,1796,1590,1664,1814
1693,1693,1694,1883,1694,1616,1646,1704,1696
1691,1742,1796,1802,1726,1852,1837,1728,1691
1780,1773,1570,1701,1749,1837,1850,1892,1735
1758,1710,1640,1764,1739,1796,1660,1865,1667
1813,1783,1843,1781,1758,1890,1767,1766,1714
1951,1790,1686,1808,1721,1796,1781,1883,1766
1902,1593,1756,1793,1777,1777,1941,1873,1785
1656,1751,1828,1713,1791,1707,1984,1707,1809
1809,1706,1850,1759,1815,1712,1857,1720,1785
1898,1781,1862,1715,1886,1833,1745,1642,1660
1814,1807,1835,1761,1774,1875,1746,1802,1785
1857,1802,1788,1888,1683,1914,1723,1684,1797
1846,1817,1901,1702,1893,1970,1706,1807,1809
1817,1920,1910,1789,1844,1906,1813,1803,1909
1873,1904,1828,1791,1860,1914,1906,1817,1927
1914,1921,1956,1910,1602,1901,1766,1778,1876
