data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3557,3549,3549,3556,3553,3551,3548,3547,3543
3786,3783,3782,3785,3783,3785,3784,3782,3779
3879,3877,3876,3878,3877,3876,3876,3876,3874
3818,3816,3817,3817,3817,3817,3817,3817,3817
3619,3616,3617,3619,3616,3617,3617,3618,3616
3482,3483,3483,3482,3481,3482,3484,3482,3483
3501,3502,3503,3502,3503,3501,3505,3503,3502
3377,3376,3378,3375,3376,3376,3379,3375,3377
3048,3048,3050,3043,3054,3049,3051,3053,3048
2813,2809,2804,2808,2804,2816,2802,2801,2796
2585,2590,2593,2602,2586,2587,2589,2589,2591
2298,2326,2317,2293,2257,2309,2334,2226,2324
2163,2231,2257,2290,2286,2299,2189,2251,2236
2085,2027,1956,2052,2029,2072,2112,2034,2057
1916,1949,1912,1955,1881,1920,1941,1786,1986
1922,1915,1920,1867,2057,1822,1861,1899,1879
1678,1752,1705,1824,1680,1804,1619,1758,1717
1664,1694,1801,1751,1670,1758,1667,1760,1706
1740,1591,1770,1695,1619,1572,1689,1752,1709
1826,1576,1861,1801,1702,1785,1799,1678,1698
1854,1674,1780,1834,1826,1732,1697,1802,1732
1853,1711,1704,1722,1813,1831,1870,1801,1759
1812,1719,1626,1927,1810,1724,1855,1842,1782
1719,1826,1726,1673,1738,1797,1716,1685,1800
1673,1800,1703,1747,1803,1786,1617,1754,1831
1637,1898,1840,1699,1838,1801,1669,1715,1709
1690,1832,1666,1816,1809,1822,1613,1689,1804
1789,1762,1535,1804,1760,1761,1684,1851,1775
1799,1853,1784,1843,1796,1636,1770,1887,1837
1769,2000,1922,1753,1716,1811,1854,1786,1712
1702,1916,1734,1672,1867,1767,1891,1888,1788
1851,1847,1625,1569,1813,1900,1860,1912,1623
1697,1729,1785,1779,1779,1717,1799,1916,1733
1691,1795,1699,1810,1869,1820,1801,1798,1842
1831,1755,1803,1879,1898,1856,1901,1864,1868
1854,1704,1920,1687,1849,1752,1818,1850,1880
1569,1754,1973,1794,1922,1687,1865,1819,1588
1623,1735,1842,1797,1870,1801,1777,1785,1738
1751,1834,1821,1861,1644,1750,1758,1841,1722
1788,1788,1817,1865,1614,1771,1788,1765,1746
1921,1824,1892,1820,1707,1889,1824,1767,1744
1956,1813,1812,1919,1611,1889,1879,1815,1798
1898,1819,1830,1855,1796,1587,1625,1867,1783
1907,1830,1772,1771,1802,1758,1678,1751,1753
1894,1858,1816,1798,1959,1745,1846,1728,1861
1802,1834,1776,1671,1957,1764,1826,1841,1818
1697,1880,1820,1747,1948,1717,1863,1847,1871
1768,1735,1943,1846,2003,1725,1563,1732,1914
1755,1845,1868,1939,1935,1741,1661,1901,1835
1774,1920,1876,1888,1924,1817,1848,1814,1696
1690,1962,1754,1611,1865,1848,1800,1823,1833
1756,1926,1758,1657,1800,1726,1848,1882,1775
1840,1846,1768,1838,1757,1766,1828,1726,1820
