data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24,data_25,data_26,data_27,data_28,data_29,data_30,data_31,data_32,data_33,data_34,data_35,data_36,data_37,data_38,data_39,data_40,data_41,data_42,data_43,data_44,data_45,data_46,data_47,data_48,data_49,data_50,data_51,data_52,data_53,data_54,data_55,data_56,data_57,data_58,data_59,data_60,data_61,data_62,data_63,data_64,data_65,data_66,data_67,data_68,data_69,data_70,data_71,data_72,data_73,data_74,data_75,data_76,data_77,data_78,data_79,data_80,data_81,data_82,data_83,data_84,data_85,data_86,data_87,data_88,data_89,data_90,data_91,data_92,data_93,data_94,data_95,data_96,data_97,data_98,data_99,data_100,data_101,data_102,data_103,data_104,data_105,data_106,data_107,data_108,data_109,data_110,data_111,data_112,data_113,data_114,data_115,data_116,data_117,data_118,data_119
3674,3678,3635,3635,3644,3610,3646,3668,3678,3672,3669,3671,3677,3675,3675,3670,3657,3676,3636,3660,3682,3681,3669,3668,3676,3644,3593,3648,3643,3665,3653,3648,3620,3645,3635,3673,3660,3655,3637,3665,3645,3626,3629,3665,3644,3636,3660,3659,3641,3654,3671,3672,3638,3648,3658,3646,3675,3657,3670,3674,3678,3676,3660,3667,3662,3648,3666,3666,3658,3674,3660,3658,3645,3652,3651,3667,3653,3671,3678,3657,3656,3660,3652,3672,3660,3659,3645,3661,3667,3682,3670,3662,3651,3647,3668,3584,3664,3645,3664,3655,3655,3669,3614,3644,3633,3662,3656,3661,3659,3623,3651,3671,3662,3663,3608,3665,3656,3653,3646
3872,3871,3867,3867,3866,3867,3865,3867,3869,3870,3871,3871,3868,3871,3868,3870,3867,3871,3868,3866,3873,3869,3868,3869,3870,3869,3867,3867,3864,3867,3868,3867,3866,3869,3867,3871,3869,3866,3862,3870,3868,3865,3866,3865,3863,3865,3868,3866,3866,3865,3870,3869,3862,3863,3868,3863,3870,3867,3870,3867,3871,3870,3865,3869,3866,3865,3866,3867,3864,3868,3864,3864,3863,3866,3862,3865,3865,3865,3869,3862,3862,3868,3864,3868,3866,3865,3864,3866,3865,3869,3865,3868,3866,3866,3868,3865,3866,3864,3867,3868,3868,3868,3868,3864,3863,3868,3867,3870,3869,3864,3871,3870,3866,3868,3870,3868,3869,3870,3869
4101,4102,4101,4101,4101,4101,4103,4101,4101,4102,4102,4100,4102,4102,4100,4100,4100,4101,4102,4101,4101,4100,4101,4101,4101,4100,4101,4100,4101,4101,4101,4101,4101,4101,4103,4101,4101,4102,4101,4103,4101,4102,4103,4100,4102,4100,4101,4101,4101,4102,4100,4102,4101,4100,4102,4101,4101,4102,4101,4102,4101,4101,4102,4102,4101,4102,4101,4100,4101,4101,4102,4101,4100,4101,4102,4100,4099,4100,4100,4100,4101,4101,4102,4101,4102,4101,4101,4100,4100,4101,4101,4100,4102,4101,4100,4101,4101,4100,4101,4100,4100,4101,4100,4102,4101,4100,4102,4101,4100,4101,4102,4101,4102,4100,4101,4101,4100,4101,4100
4203,4203,4202,4202,4204,4203,4205,4203,4203,4204,4204,4202,4203,4203,4202,4202,4203,4204,4204,4203,4203,4203,4203,4203,4203,4202,4203,4203,4204,4203,4203,4204,4203,4203,4204,4202,4203,4204,4203,4204,4203,4203,4204,4203,4203,4203,4204,4203,4203,4204,4203,4204,4203,4203,4203,4204,4203,4203,4203,4203,4204,4203,4203,4204,4203,4203,4203,4203,4203,4204,4203,4202,4203,4202,4203,4203,4203,4202,4202,4202,4203,4203,4202,4202,4202,4203,4202,4202,4202,4202,4203,4202,4202,4202,4202,4202,4203,4202,4203,4203,4203,4203,4202,4204,4202,4202,4203,4203,4203,4203,4203,4203,4203,4203,4203,4203,4202,4203,4203
4022,4024,4023,4023,4025,4025,4027,4023,4024,4025,4025,4023,4023,4023,4022,4022,4024,4024,4024,4024,4023,4024,4024,4023,4023,4022,4023,4023,4024,4024,4024,4024,4023,4024,4024,4023,4024,4024,4024,4026,4024,4024,4024,4023,4024,4024,4024,4024,4023,4024,4024,4025,4024,4024,4024,4024,4024,4023,4024,4024,4025,4025,4024,4024,4025,4024,4023,4024,4024,4024,4023,4023,4024,4023,4024,4025,4023,4024,4023,4024,4023,4023,4024,4023,4024,4024,4023,4022,4023,4024,4022,4023,4023,4024,4022,4023,4023,4023,4023,4024,4024,4023,4023,4024,4022,4023,4024,4023,4024,4022,4024,4024,4024,4023,4023,4024,4023,4024,4024
3747,3751,3749,3749,3750,3750,3754,3748,3747,3749,3750,3748,3746,3748,3747,3744,3747,3750,3749,3751,3749,3750,3751,3749,3749,3747,3750,3749,3750,3750,3749,3753,3750,3751,3751,3750,3750,3749,3751,3753,3751,3748,3750,3749,3749,3752,3750,3751,3749,3753,3752,3752,3752,3754,3751,3751,3750,3750,3751,3750,3752,3750,3749,3750,3753,3750,3750,3750,3750,3749,3748,3751,3751,3749,3749,3752,3752,3751,3751,3752,3750,3751,3752,3751,3750,3751,3749,3748,3750,3751,3749,3751,3748,3750,3750,3750,3747,3748,3749,3751,3748,3750,3748,3753,3749,3751,3751,3749,3752,3749,3751,3752,3750,3751,3748,3749,3751,3751,3752
3582,3584,3579,3579,3588,3580,3584,3586,3585,3584,3584,3584,3580,3579,3583,3583,3583,3578,3582,3579,3585,3585,3585,3581,3584,3581,3583,3581,3583,3583,3583,3584,3583,3585,3584,3586,3585,3584,3584,3581,3583,3584,3586,3582,3583,3583,3584,3588,3582,3582,3586,3581,3587,3584,3583,3585,3581,3583,3584,3584,3582,3581,3582,3587,3582,3586,3582,3585,3582,3582,3582,3581,3582,3584,3582,3581,3582,3583,3584,3580,3586,3584,3577,3583,3581,3582,3584,3575,3577,3586,3580,3583,3582,3577,3581,3582,3585,3578,3583,3584,3586,3582,3582,3581,3583,3581,3585,3583,3584,3582,3584,3585,3584,3587,3584,3585,3578,3587,3585
3561,3561,3559,3559,3566,3562,3562,3562,3563,3562,3559,3562,3560,3562,3564,3564,3563,3564,3560,3559,3560,3564,3564,3561,3560,3560,3562,3559,3561,3564,3563,3564,3563,3567,3561,3562,3561,3559,3562,3561,3565,3559,3565,3563,3564,3560,3560,3562,3562,3562,3562,3563,3562,3562,3563,3563,3560,3561,3560,3563,3561,3560,3562,3562,3563,3562,3562,3562,3560,3564,3562,3561,3560,3563,3562,3562,3561,3561,3560,3558,3562,3562,3564,3564,3562,3562,3561,3570,3705,3560,3562,3566,3564,3560,3561,3564,3561,3559,3562,3563,3561,3560,3559,3561,3560,3560,3563,3562,3562,3562,3563,3561,3563,3564,3562,3562,3558,3564,3562
3365,3361,3357,3357,3363,3368,3363,3359,3363,3362,3361,3368,3367,3366,3368,3367,3365,3369,3364,3362,3362,3369,3366,3363,3359,3363,3365,3358,3364,3369,3361,3367,3366,3365,3360,3359,3365,3363,3357,3360,3362,3364,3366,3366,3364,3362,3361,3363,3365,3366,3369,3369,3368,3365,3361,3355,3366,3366,3364,3363,3361,3363,3359,3365,3363,3367,3365,3368,3365,3366,3362,3364,3365,3358,3370,3360,3358,3364,3364,3361,3360,3369,3365,3363,3356,3359,3438,4046,4308,4135,3375,3383,3362,3362,3363,3361,3364,3359,3359,3361,3363,3362,3362,3362,3364,3364,3359,3363,3363,3371,3358,3361,3358,3359,3358,3366,3354,3367,3360
3273,3262,3279,3279,3280,3279,3281,3265,3285,3270,3281,3269,3275,3264,3280,3273,3275,3277,3278,3280,3282,3289,3276,3278,3278,3270,3272,3282,3273,3269,3275,3283,3277,3278,3267,3279,3269,3272,3275,3265,3271,3272,3269,3263,3270,3262,3268,3276,3268,3268,3255,3272,3271,3269,3266,3268,3270,3277,3276,3264,3279,3283,3271,3276,3263,3273,3269,3266,3273,3266,3265,3273,3285,3271,3285,3278,3276,3284,3264,3279,3281,3272,3281,3263,3420,3534,3729,4359,4484,4411,3314,3438,3279,3283,3279,3271,3270,3277,3278,3278,3278,3276,3278,3267,3278,3272,3284,3277,3273,3271,3271,3279,3278,3268,3276,3282,3280,3266,3268
